['time', 'x', 'y', 'z']
['1731068671.77', '10770.7151966', '10770.7881691', '0.0']
['1731068672.27', '10771.390436', '10770.7547733', '0.0']
['1731068672.77', '10771.4306916', '10770.9838442', '0.0']
['1731068673.27', '10771.6291186', '10771.4268809', '0.0']
['1731068673.77', '10771.3388866', '10771.256038', '0.0']
['1731068674.27', '10771.9273131', '10771.7709653', '0.0']
['1731068674.77', '10771.6755558', '10771.4274481', '0.0']
['1731068675.27', '10771.8896747', '10771.8139177', '0.0']
['1731068675.77', '10771.7108552', '10772.1090472', '0.0']
['1731068676.28', '10772.0643661', '10772.5071207', '0.0']
['1731068676.78', '10772.287', '10772.4456161', '0.0']
['1731068677.28', '10772.5770537', '10772.522364', '0.0']
['1731068677.78', '10772.4081075', '10772.7702729', '0.0']
['1731068678.28', '10772.891184', '10772.5775089', '0.0']
['1731068678.78', '10773.0530251', '10772.7407909', '0.0']
['1731068679.28', '10773.3122859', '10773.38668', '0.0']
['1731068679.78', '10773.0943192', '10773.6234467', '0.0']
['1731068680.28', '10773.7655706', '10773.3201339', '0.0']
['1731068680.78', '10773.8505599', '10773.9085587', '0.0']
['1731068681.28', '10773.5614924', '10773.9392955', '0.0']
['1731068681.78', '10773.6238918', '10774.2400973', '0.0']
['1731068682.28', '10773.7240866', '10773.8301242', '0.0']
['1731068682.79', '10773.9440733', '10774.1711774', '0.0']
['1731068683.28', '10774.5759093', '10774.5586066', '0.0']
['1731068683.78', '10774.6581423', '10774.2333585', '0.0']
['1731068684.29', '10774.7799035', '10774.4977675', '0.0']
['1731068684.79', '10775.0826927', '10774.4163932', '0.0']
['1731068685.29', '10774.7900249', '10774.6367549', '0.0']
['1731068685.79', '10775.2634271', '10774.7520548', '0.0']
['1731068686.29', '10775.3970203', '10775.5146035', '0.0']
['1731068686.79', '10775.1865409', '10775.0386303', '0.0']
['1731068687.29', '10775.8441487', '10775.8904764', '0.0']
['1731068687.79', '10775.5248925', '10775.5563694', '0.0']
['1731068688.29', '10775.5804614', '10775.6139051', '0.0']
['1731068688.79', '10776.0484431', '10775.6008235', '0.0']
['1731068689.29', '10775.7554572', '10776.2648246', '0.0']
['1731068689.79', '10776.0257286', '10775.9614651', '0.0']
['1731068690.29', '10776.428355', '10776.5915317', '0.0']
['1731068690.79', '10776.6015936', '10776.314408', '0.0']
['1731068691.3', '10776.6000476', '10776.6957391', '0.0']
['1731068691.8', '10776.6817624', '10776.5041887', '0.0']
['1731068692.3', '10776.8447868', '10776.7804229', '0.0']
['1731068692.8', '10777.3338348', '10777.0733414', '0.0']
['1731068693.3', '10777.5516828', '10777.1529533', '0.0']
['1731068693.8', '10777.3881245', '10777.3782493', '0.0']
['1731068694.3', '10777.5533972', '10777.7165409', '0.0']
['1731068694.8', '10777.9290515', '10778.110445', '0.0']
['1731068695.3', '10777.6918182', '10777.8261922', '0.0']
['1731068695.8', '10778.4177693', '10778.3724796', '0.0']
['1731068696.3', '10778.1976314', '10778.4865052', '0.0']
['1731068696.8', '10778.0923796', '10778.2466018', '0.0']
['1731068697.3', '10778.1696897', '10778.8101499', '0.0']
['1731068697.8', '10778.9901575', '10778.7990989', '0.0']
['1731068698.3', '10778.9504761', '10778.6680344', '0.0']
['1731068698.8', '10779.1745305', '10779.1547284', '0.0']
['1731068699.3', '10779.3594472', '10779.3061998', '0.0']
['1731068699.8', '10779.1690886', '10779.064743', '0.0']
['1731068700.3', '10779.4393823', '10779.7307473', '0.0']
['1731068700.8', '10779.2250088', '10779.8644443', '0.0']
['1731068701.31', '10779.8016266', '10779.546688', '0.0']
['1731068701.81', '10779.7126609', '10780.2324835', '0.0']
['1731068702.31', '10779.8285209', '10779.7655475', '0.0']
['1731068702.81', '10779.9868473', '10780.4025577', '0.0']
['1731068703.31', '10780.2491637', '10780.0336571', '0.0']
['1731068703.81', '10780.4691405', '10780.1966483', '0.0']
['1731068704.31', '10780.9312697', '10780.5132383', '0.0']
['1731068704.81', '10780.4887442', '10780.4261875', '0.0']
['1731068705.31', '10780.8194756', '10781.2235398', '0.0']
['1731068705.81', '10781.2252759', '10781.4376512', '0.0']
['1731068706.31', '10781.3347946', '10781.2069273', '0.0']
['1731068706.81', '10781.1360743', '10781.250358', '0.0']
['1731068707.31', '10781.3994648', '10781.360629', '0.0']
['1731068707.81', '10781.606705', '10781.3687923', '0.0']
['1731068708.31', '10781.7302025', '10781.8239027', '0.0']
['1731068708.81', '10782.3342364', '10781.9574968', '0.0']
['1731068709.31', '10782.3468229', '10781.9319439', '0.0']
['1731068709.81', '10782.2577816', '10782.1085447', '0.0']
['1731068710.31', '10782.3809131', '10782.7381047', '0.0']
['1731068710.81', '10782.8141455', '10782.4960046', '0.0']
['1731068711.31', '10782.756517', '10782.8070645', '0.0']
['1731068711.81', '10783.0003269', '10782.6972245', '0.0']
['1731068712.31', '10783.0182235', '10783.1457414', '0.0']
['1731068712.82', '10783.522291', '10783.4956156', '0.0']
['1731068713.31', '10783.6433545', '10783.6219723', '0.0']
['1731068713.82', '10783.7310649', '10783.2006031', '0.0']
['1731068714.32', '10783.3583328', '10783.3832782', '0.0']
['1731068714.82', '10783.4474534', '10783.7468052', '0.0']
['1731068715.32', '10784.2957632', '10783.8814913', '0.0']
['1731068715.82', '10784.2854875', '10784.2500238', '0.0']
['1731068716.32', '10784.2529975', '10784.5499505', '0.0']
['1731068716.82', '10784.2250384', '10784.0046752', '0.0']
['1731068717.32', '10784.5333533', '10784.6467186', '0.0']
['1731068717.82', '10784.9060766', '10785.016584', '0.0']
['1731068718.32', '10784.61495', '10784.9787321', '0.0']
['1731068718.82', '10784.7663194', '10784.718339', '0.0']
['1731068719.32', '10785.3818288', '10785.4821557', '0.0']
['1731068719.82', '10785.5715158', '10785.1984639', '0.0']
['1731068720.32', '10785.1091755', '10785.5996102', '0.0']
['1731068720.82', '10785.273179', '10785.2559817', '0.0']
['1731068721.32', '10785.8881777', '10785.450264', '0.0']
['1731068721.82', '10785.9715392', '10786.0592328', '0.0']
['1731068722.32', '10785.6634026', '10785.83866', '0.0']
['1731068722.82', '10785.8457851', '10786.21801', '0.0']
['1731068723.32', '10786.398985', '10786.5587067', '0.0']
['1731068723.83', '10786.4413414', '10786.4514743', '0.0']
['1731068724.32', '10786.5377669', '10786.6354722', '0.0']
['1731068724.83', '10787.0542643', '10786.4579547', '0.0']
['1731068725.33', '10786.7648275', '10786.7902869', '0.0']
['1731068725.83', '10786.9840545', '10786.7977256', '0.0']
['1731068726.33', '10787.3205349', '10786.9479753', '0.0']
['1731068726.83', '10787.0365577', '10787.0034634', '0.0']
['1731068727.33', '10787.3219525', '10787.7478615', '0.0']
['1731068727.83', '10787.9465184', '10787.7800012', '0.0']
['1731068728.33', '10788.1493045', '10788.1751806', '0.0']
['1731068728.83', '10787.9773363', '10787.660001', '0.0']
['1731068729.33', '10788.2060528', '10788.0192266', '0.0']
['1731068729.83', '10788.4382997', '10788.369622', '0.0']
['1731068730.33', '10788.5990364', '10788.1658418', '0.0']
['1731068730.83', '10788.2040993', '10788.777591', '0.0']
['1731068731.33', '10788.490721', '10788.4558785', '0.0']
['1731068731.83', '10788.9592251', '10788.8602299', '0.0']
['1731068732.33', '10789.2241155', '10788.7731361', '0.0']
['1731068732.83', '10789.0240959', '10789.1025222', '0.0']
['1731068733.33', '10789.4031046', '10789.1579729', '0.0']
['1731068733.83', '10789.1880789', '10789.5004155', '0.0']
['1731068734.33', '10789.8206608', '10789.8229336', '0.0']
['1731068734.83', '10789.4591204', '10789.8527285', '0.0']
['1731068735.33', '10790.0654622', '10789.9621171', '0.0']
['1731068735.83', '10790.3980664', '10790.3140114', '0.0']
