1731067770.592102456: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067825.705596471: 64 bytes from 192.168.6.12: icmp_seq=111 ttl=63 time=2.43 ms
1731067826.206008725: 64 bytes from 192.168.6.12: icmp_seq=112 ttl=63 time=1.95 ms
1731067826.707668989: 64 bytes from 192.168.6.12: icmp_seq=113 ttl=63 time=2.76 ms
1731067827.213980949: 64 bytes from 192.168.6.12: icmp_seq=114 ttl=63 time=7.43 ms
1731067827.708852123: 64 bytes from 192.168.6.12: icmp_seq=115 ttl=63 time=1.58 ms
1731067828.211140893: 64 bytes from 192.168.6.12: icmp_seq=116 ttl=63 time=2.39 ms
1731067828.711760302: 64 bytes from 192.168.6.12: icmp_seq=117 ttl=63 time=1.61 ms
1731067829.212914448: 64 bytes from 192.168.6.12: icmp_seq=118 ttl=63 time=2.03 ms
1731067829.713871003: 64 bytes from 192.168.6.12: icmp_seq=119 ttl=63 time=2.01 ms
1731067830.214973492: 64 bytes from 192.168.6.12: icmp_seq=120 ttl=63 time=2.34 ms
1731067830.715524490: 64 bytes from 192.168.6.12: icmp_seq=121 ttl=63 time=2.16 ms
1731067831.215143287: 64 bytes from 192.168.6.12: icmp_seq=122 ttl=63 time=1.70 ms
1731067831.718504246: 64 bytes from 192.168.6.12: icmp_seq=123 ttl=63 time=3.46 ms
1731067832.217690348: 64 bytes from 192.168.6.12: icmp_seq=124 ttl=63 time=2.08 ms
1731067832.717426242: 64 bytes from 192.168.6.12: icmp_seq=125 ttl=63 time=1.59 ms
1731067833.218693432: 64 bytes from 192.168.6.12: icmp_seq=126 ttl=63 time=1.85 ms
1731067833.720211683: 64 bytes from 192.168.6.12: icmp_seq=127 ttl=63 time=1.71 ms
1731067834.221118944: 64 bytes from 192.168.6.12: icmp_seq=128 ttl=63 time=1.55 ms
1731067834.723581242: 64 bytes from 192.168.6.12: icmp_seq=129 ttl=63 time=2.00 ms
1731067835.223452173: 64 bytes from 192.168.6.12: icmp_seq=130 ttl=63 time=1.66 ms
1731067835.724320741: 64 bytes from 192.168.6.12: icmp_seq=131 ttl=63 time=1.85 ms
1731067836.225605952: 64 bytes from 192.168.6.12: icmp_seq=132 ttl=63 time=2.22 ms
1731067836.734235802: 64 bytes from 192.168.6.12: icmp_seq=133 ttl=63 time=9.18 ms
1731067837.227255819: 64 bytes from 192.168.6.12: icmp_seq=134 ttl=63 time=2.00 ms
1731067837.728459888: 64 bytes from 192.168.6.12: icmp_seq=135 ttl=63 time=1.81 ms
1731067838.229425232: 64 bytes from 192.168.6.12: icmp_seq=136 ttl=63 time=2.35 ms
1731067838.729582485: 64 bytes from 192.168.6.12: icmp_seq=137 ttl=63 time=2.08 ms
1731067839.229485564: 64 bytes from 192.168.6.12: icmp_seq=138 ttl=63 time=1.53 ms
1731067839.731656648: 64 bytes from 192.168.6.12: icmp_seq=139 ttl=63 time=2.48 ms
1731067840.231828108: 64 bytes from 192.168.6.12: icmp_seq=140 ttl=63 time=1.50 ms
1731067840.732815990: 64 bytes from 192.168.6.12: icmp_seq=141 ttl=63 time=1.59 ms
1731067841.242544945: 64 bytes from 192.168.6.12: icmp_seq=142 ttl=63 time=10.1 ms
1731067841.734238048: 64 bytes from 192.168.6.12: icmp_seq=143 ttl=63 time=1.92 ms
1731067842.235721242: 64 bytes from 192.168.6.12: icmp_seq=144 ttl=63 time=2.63 ms
1731067842.737204362: 64 bytes from 192.168.6.12: icmp_seq=145 ttl=63 time=1.71 ms
1731067843.238694276: 64 bytes from 192.168.6.12: icmp_seq=146 ttl=63 time=2.70 ms
1731067843.740702739: 64 bytes from 192.168.6.12: icmp_seq=147 ttl=63 time=3.22 ms
1731067844.241381358: 64 bytes from 192.168.6.12: icmp_seq=148 ttl=63 time=2.75 ms
1731067844.742656670: 64 bytes from 192.168.6.12: icmp_seq=149 ttl=63 time=2.76 ms
1731067845.243229830: 64 bytes from 192.168.6.12: icmp_seq=150 ttl=63 time=2.74 ms
1731067845.747458728: 64 bytes from 192.168.6.12: icmp_seq=151 ttl=63 time=5.04 ms
1731067846.244888764: 64 bytes from 192.168.6.12: icmp_seq=152 ttl=63 time=2.44 ms
1731067846.745801433: 64 bytes from 192.168.6.12: icmp_seq=153 ttl=63 time=1.94 ms
1731067847.246675288: 64 bytes from 192.168.6.12: icmp_seq=154 ttl=63 time=1.80 ms
1731067847.748882384: 64 bytes from 192.168.6.12: icmp_seq=155 ttl=63 time=2.64 ms
