Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,C1_X,C1_Y,C1_Z,Distance
1731070851.05,7.68,0.695,0.0,1.39,11423.1299793,11423.23921,0.0,5799.87,6168.81,0.0,7696.10805002751
1731070851.55,7.68,1.079,0.0,2.56,11423.5744846,11423.0335105,0.0,5800.0,6169.0,0.0,7696.067704568424
1731070852.05,8.32,0.93,0.0,1.89,11423.5451587,11423.325789,0.0,5800.13,6169.19,0.0,7696.021110700491
1731070852.55,8.32,1.205,0.0,1.72,11423.7311182,11423.8232794,0.0,5800.26,6169.38,0.0,7696.271928256003
1731070853.05,7.68,0.9,0.0,1.96,11423.7696316,11424.1526386,0.0,5800.39,6169.57,0.0,7696.3002271851565
1731070853.55,8.31,1.237,0.0,1.94,11424.3075811,11424.1650155,0.0,5800.52,6169.76,0.0,7696.47703980504
1731070854.05,7.68,0.925,0.0,6.28,11424.3262208,11424.0434832,0.0,5800.65,6169.95,0.0,7696.1829868186005
1731070854.55,8.32,0.827,0.0,1.41,11424.4745401,11423.9464289,0.0,5800.78,6170.14,0.0,7696.000407529974
1731070855.05,7.69,0.809,0.0,1.58,11424.6671603,11424.050153,0.0,5800.91,6170.33,0.0,7695.9872689645135
1731070855.55,7.68,0.423,0.0,3.22,11424.8274423,11424.310015,0.0,5801.04,6170.52,0.0,7696.0570890479285
1731070856.05,8.32,0.853,0.0,1.66,11424.5211912,11424.8547705,0.0,5801.17,6170.71,0.0,7695.980502115565
1731070856.55,8.31,0.689,0.0,1.67,11425.187582,11425.153799,0.0,5801.3,6170.9,0.0,7696.446876272177
1731070857.05,7.68,0.959,0.0,3.61,11424.9571896,11424.8775979,0.0,5801.43,6171.09,0.0,7695.865264934043
1731070857.55,8.32,0.797,0.0,1.87,11425.0808934,11425.2666813,0.0,5801.56,6171.28,0.0,7695.996575219099
1731070858.05,7.68,0.408,0.0,1.94,11425.3372628,11424.9769353,0.0,5801.69,6171.47,0.0,7695.761408440566
1731070858.55,8.32,0.852,0.0,2.41,11425.1607374,11425.7004162,0.0,5801.82,6171.66,0.0,7695.901619951066
1731070859.05,7.68,0.564,0.0,1.58,11425.9470439,11425.4386399,0.0,5801.95,6171.85,0.0,7696.072787278084
1731070859.55,8.32,0.827,0.0,2.34,11425.5826496,11425.6104002,0.0,5802.08,6172.04,0.0,7695.699058559645
1731070860.05,7.68,0.731,0.0,2.04,11425.780393,11425.6358705,0.0,5802.21,6172.23,0.0,7695.636244341986
1731070860.55,8.32,0.34,0.0,2.65,11425.7195756,11425.8490935,0.0,5802.34,6172.42,0.0,7695.512659446898
