Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,F2_X,F2_Y,F2_Z,Distance
1731071849.73,19.8,1.064,0.0,1.57,11722.5152121,11722.5332997,0.0,7314.3,10721.45,0.0,4520.456738995306
1731071850.23,19.8,1.117,0.0,2.3,11722.3802967,11722.265082,0.0,7314.4,10721.6,0.0,4520.135053560843
1731071850.73,19.8,1.026,0.0,3.09,11722.3438838,11722.6127022,0.0,7314.5,10721.75,0.0,4520.045779923933
1731071851.23,19.8,0.538,0.0,1.84,11722.9793086,11722.8265461,0.0,7314.6,10721.9,0.0,4520.582050928872
1731071851.73,20.5,0.533,0.0,1.82,11722.6531653,11723.0104012,0.0,7314.7,10722.05,0.0,4520.173982519783
1731071852.23,19.8,0.634,0.0,2.16,11723.1126884,11722.8724165,0.0,7314.8,10722.2,0.0,4520.460822068077
1731071852.73,19.8,0.616,0.0,1.89,11723.3335683,11723.1094958,0.0,7314.9,10722.35,0.0,4520.597979753137
1731071853.23,20.5,0.463,0.0,1.53,11723.721106,11723.7316566,0.0,7315.0,10722.5,0.0,4520.982926385351
1731071853.73,19.8,0.688,0.0,10.2,11723.2420525,11723.2019218,0.0,7315.1,10722.65,0.0,4520.267746852677
1731071854.23,19.8,0.668,0.0,1.7,11723.8880042,11723.7785699,0.0,7315.2,10722.8,0.0,4520.89460348016
1731071854.73,19.8,0.678,0.0,2.11,11723.6143056,11724.0641332,0.0,7315.3,10722.95,0.0,4520.560200312611
1731071855.23,19.8,0.628,0.0,1.65,11723.7040977,11724.2395,0.0,7315.4,10723.1,0.0,4520.555863636557
1731071855.73,20.5,0.519,0.0,1.78,11723.7681929,11724.3612409,0.0,7315.5,10723.25,0.0,4520.514592078004
1731071856.23,19.8,0.788,0.0,2.17,11723.9080137,11724.0421366,0.0,7315.6,10723.4,0.0,4520.449560518406
1731071856.73,19.8,0.734,0.0,1.72,11724.2793832,11724.2408984,0.0,7315.7,10723.55,0.0,4520.724991869855
1731071857.23,20.5,0.781,0.0,1.65,11724.2687297,11724.3323354,0.0,7315.8,10723.7,0.0,4520.6041201802645
1731071857.73,19.8,0.72,0.0,1.69,11724.9752039,11724.5833437,0.0,7315.9,10723.85,0.0,4521.217908798337
1731071858.23,19.8,0.655,0.0,8.57,11725.1277285,11724.6823921,0.0,7316.0,10724.0,0.0,4521.2578533065935
1731071858.73,19.8,0.691,0.0,2.27,11724.8072149,11725.0329773,0.0,7316.1,10724.15,0.0,4520.89217311807
1731071859.23,20.5,0.784,0.0,1.6,11725.4817977,11725.4714565,0.0,7316.2,10724.3,0.0,4521.516366976778
1731071859.73,19.8,0.731,0.0,2.2,11725.2937975,11725.0608729,0.0,7316.3,10724.45,0.0,4521.1114148358665
1731071860.23,19.8,0.705,0.0,2.67,11725.7964615,11725.2645291,0.0,7316.4,10724.6,0.0,4521.5159686202205
1731071860.73,19.8,0.742,0.0,1.54,11725.7761756,11725.7892344,0.0,7316.5,10724.75,0.0,4521.481609110215
1731071861.23,20.5,0.747,0.0,2.15,11726.069868,11726.1392172,0.0,7316.6,10724.9,0.0,4521.714772833334
1731071861.73,19.8,0.976,0.0,2.15,11726.1511232,11726.2613984,0.0,7316.7,10725.05,0.0,4521.690333511996
1731071862.23,19.9,1.01,0.0,2.03,11726.349172,11726.0098945,0.0,7316.8,10725.2,0.0,4521.697064732995
1731071862.73,19.8,1.259,0.0,5.03,11725.9733774,11726.182457,0.0,7316.9,10725.35,0.0,4521.238066534664
1731071863.23,20.5,0.867,0.0,2.21,11726.6095152,11726.4679072,0.0,7317.0,10725.5,0.0,4521.790887224522
1731071863.73,19.8,0.682,0.0,2.73,11726.388219,11726.6726044,0.0,7317.1,10725.65,0.0,4521.489671859481
1731071864.23,19.8,0.702,0.0,1.55,11726.3548151,11727.0399716,0.0,7317.2,10725.8,0.0,4521.4077082529375
1731071864.73,19.8,0.579,0.0,2.05,11726.7575462,11726.8599488,0.0,7317.3,10725.95,0.0,4521.629858507543
1731071865.23,19.8,0.594,0.031,2.05,11726.9672226,11727.2594403,0.0,7317.4,10726.1,0.0,4521.792046913491
1731071865.73,19.8,0.603,0.0,1.88,11727.3613457,11726.83025,0.0,7317.5,10726.25,0.0,4521.950676974382
1731071866.23,19.8,0.826,0.0,1.78,11727.2199296,11727.3493903,0.0,7317.6,10726.4,0.0,4521.796944298521
1731071866.73,19.8,0.765,0.0,3.23,11727.6488938,11727.0779955,0.0,7317.7,10726.55,0.0,4522.024493045908
1731071867.23,20.5,0.823,0.0,7.69,11727.8683267,11727.6767628,0.0,7317.8,10726.7,0.0,4522.240277321418
1731071867.73,19.9,0.821,0.0,1.83,11727.5066498,11727.8205347,0.0,7317.9,10726.85,0.0,4521.788674551032
1731071868.23,19.8,0.763,0.0,2.82,11728.2200312,11728.2120483,0.0,7318.0,10727.0,0.0,4522.440302453843
1731071868.73,19.8,1.223,0.0,3.14,11728.2657038,11728.0204508,0.0,7318.1,10727.15,0.0,4522.311709099489
1731071869.23,20.5,0.992,0.0,2.06,11728.4114108,11728.2728076,0.0,7318.2,10727.3,0.0,4522.378936965051
1731071869.73,19.8,1.038,0.0,1.87,11728.2184868,11728.5473841,0.0,7318.3,10727.45,0.0,4522.120855602188
1731071870.23,19.2,0.977,0.032,1.95,11728.6112706,11728.5592487,0.0,7318.4,10727.6,0.0,4522.375799166334
1731071870.73,19.8,1.081,0.0,2.0,11728.2929193,11728.8506615,0.0,7318.5,10727.75,0.0,4521.999129319261
1731071871.23,20.5,1.049,0.0,2.1,11728.4160083,11728.5986466,0.0,7318.6,10727.9,0.0,4521.932662962377
1731071871.73,19.8,1.09,0.0,3.14,11729.2773375,11728.978585,0.0,7318.7,10728.05,0.0,4522.7260012451225
1731071872.23,19.8,0.835,0.0,2.01,11728.7106167,11729.4098391,0.0,7318.8,10728.2,0.0,4522.138077192471
1731071872.73,19.8,0.443,0.0,1.54,11729.4197575,11729.1182995,0.0,7318.9,10728.35,0.0,4522.6343783885495
1731071873.23,20.5,0.445,0.0,2.35,11729.2065188,11729.0940185,0.0,7319.0,10728.5,0.0,4522.290341002443
1731071873.73,19.8,0.545,0.0,2.73,11729.3730627,11729.1849261,0.0,7319.1,10728.65,0.0,4522.342161526831
1731071874.23,19.8,0.564,0.0,1.46,11729.6024513,11729.6249414,0.0,7319.2,10728.8,0.0,4522.5325146162695
1731071874.73,19.8,0.739,0.0,2.93,11729.8381326,11729.6580223,0.0,7319.3,10728.95,0.0,4522.638960276872
1731071875.23,20.5,0.774,0.0,2.48,11729.8736773,11729.9419151,0.0,7319.4,10729.1,0.0,4522.605730900851
1731071875.73,19.9,0.964,0.0,1.81,11730.1333001,11730.0150669,0.0,7319.5,10729.25,0.0,4522.744391083624
1731071876.23,19.8,0.625,0.0,2.39,11730.4233143,11730.2539369,0.0,7319.6,10729.4,0.0,4522.949359984109
1731071876.73,19.8,0.518,0.0,8.98,11730.2037273,11730.2660124,0.0,7319.7,10729.55,0.0,4522.607175734031
1731071877.23,20.5,0.699,0.0,1.89,11730.5647018,11730.4056671,0.0,7319.8,10729.7,0.0,4522.8593927747625
1731071877.73,19.8,0.584,0.0,2.02,11730.909208,11731.0592202,0.0,7319.9,10729.85,0.0,4523.2092739198215
1731071878.23,19.8,0.694,0.0,1.69,11730.9082964,11730.9886872,0.0,7320.0,10730.0,0.0,4523.062054753697
1731071878.73,19.8,0.61,0.0,1.7,11730.9122513,11730.6812933,0.0,7320.1,10730.15,0.0,4522.867186320061
1731071879.23,20.5,0.597,0.0,2.1,11730.977123,11731.0956875,0.0,7320.2,10730.3,0.0,4522.89142439864
1731071879.73,19.8,0.863,0.0,2.33,11731.6254711,11731.5674783,0.0,7320.3,10730.45,0.0,4523.497387788942
1731071880.23,19.8,0.706,0.0,2.59,11731.1392363,11731.8060221,0.0,7320.4,10730.6,0.0,4522.945291436279
1731071880.73,19.2,0.729,0.032,1.83,11731.9012561,11731.2780585,0.0,7320.5,10730.75,0.0,4523.440884787425
1731071881.23,20.5,0.979,0.0,9.84,11731.9349936,11731.9939932,0.0,7320.6,10730.9,0.0,4523.501476619746
1731071881.73,19.8,0.846,0.0,2.63,11731.6784129,11731.9204192,0.0,7320.7,10731.05,0.0,4523.104260914112
1731071882.23,19.8,0.815,0.0,1.4,11731.8742181,11732.3683645,0.0,7320.8,10731.2,0.0,4523.263628361952
1731071882.73,19.8,0.979,0.0,2.27,11731.9301066,11731.9350376,0.0,7320.9,10731.35,0.0,4523.091533321055
1731071883.23,20.5,0.968,0.0,2.69,11732.3121336,11732.2157336,0.0,7321.0,10731.5,0.0,4523.395485641419
1731071883.73,19.8,1.658,0.0,1.57,11732.4336992,11732.2307145,0.0,7321.1,10731.65,0.0,4523.386648510924
1731071884.23,19.8,1.416,0.0,2.16,11732.46817,11732.7333815,0.0,7321.2,10731.8,0.0,4523.400767327186
1731071884.73,19.8,1.054,0.0,2.81,11732.5850267,11732.869225,0.0,7321.3,10731.95,0.0,4523.414073657443
1731071885.23,19.8,0.676,0.0,2.06,11733.1834944,11733.0890305,0.0,7321.4,10732.1,0.0,4523.915631468121
1731071885.73,20.5,0.866,0.0,2.01,11733.0555423,11732.8769539,0.0,7321.5,10732.25,0.0,4523.6132243671145
1731071886.23,19.8,0.558,0.0,1.69,11732.9418393,11733.1098457,0.0,7321.6,10732.4,0.0,4523.423152706324
1731071886.73,19.8,0.6,0.0,1.85,11733.3641555,11733.3303362,0.0,7321.7,10732.55,0.0,4523.7530770642325
1731071887.23,20.5,0.645,0.0,2.26,11733.547989,11733.8300088,0.0,7321.8,10732.7,0.0,4523.912202172522
1731071887.73,19.8,1.206,0.0,1.55,11733.8319008,11734.074149,0.0,7321.9,10732.85,0.0,4524.112387401255
1731071888.23,19.8,0.781,0.0,1.76,11733.6345,11733.5705125,0.0,7322.0,10733.0,0.0,4523.677741846203
1731071888.73,19.8,0.924,0.0,2.08,11733.8632482,11734.3332606,0.0,7322.1,10733.15,0.0,4523.938867786992
1731071889.23,20.5,0.752,0.0,2.12,11734.2302085,11734.2059373,0.0,7322.2,10733.3,0.0,4524.137846710569
1731071889.73,19.8,0.887,0.0,2.7,11734.3951888,11734.4913948,0.0,7322.3,10733.45,0.0,4524.2311865260845
1731071890.23,19.9,0.917,0.0,1.72,11734.3984435,11734.7393249,0.0,7322.4,10733.6,0.0,4524.158508861914
1731071890.73,19.8,1.016,0.0,7.56,11734.4480802,11734.2677397,0.0,7322.5,10733.75,0.0,4523.971884288723
