Time,S1_X,S1_Y,S1_Z
1731070236.57,11239.687355,11239.1523728,0.0
1731070237.07,11239.4879914,11239.5522283,0.0
1731070237.57,11239.8685413,11239.3159735,0.0
1731070238.08,11239.9115422,11239.7342609,0.0
1731070238.58,11239.6404495,11239.8999273,0.0
1731070239.08,11240.275411,11240.119689,0.0
1731070239.58,11240.2030133,11239.8812373,0.0
1731070240.08,11240.21396,11240.5099535,0.0
1731070240.58,11240.6501477,11240.358741,0.0
1731070241.08,11240.9666881,11240.379802,0.0
1731070241.58,11241.0133666,11241.0578062,0.0
1731070242.08,11240.7129811,11241.0152761,0.0
1731070242.58,11240.887359,11240.8624212,0.0
1731070243.08,11241.2200695,11241.0674583,0.0
1731070243.58,11241.1808185,11241.5796439,0.0
1731070244.08,11241.5105203,11241.8923532,0.0
1731070244.58,11242.0834447,11241.671125,0.0
1731070245.08,11241.8589405,11241.5796564,0.0
1731070245.59,11242.2981616,11241.818069,0.0
1731070246.08,11241.9923685,11241.8208615,0.0
1731070246.58,11241.9810432,11242.213596,0.0
1731070247.08,11242.2935405,11242.2225701,0.0
1731070247.59,11242.8886347,11242.9332744,0.0
1731070248.09,11242.9244319,11242.446322,0.0
1731070248.59,11242.7878642,11242.5671802,0.0
1731070249.09,11243.158939,11242.898198,0.0
1731070249.59,11242.9640533,11243.5037114,0.0
1731070250.09,11243.6565926,11243.0210406,0.0
1731070250.59,11243.4954217,11243.1662723,0.0
1731070251.09,11243.6000386,11243.4668762,0.0
1731070251.59,11243.7610323,11243.8362911,0.0
1731070252.09,11244.0257468,11243.7347893,0.0
1731070252.59,11243.9678964,11243.9553858,0.0
1731070253.09,11244.0612297,11244.2190313,0.0
1731070253.59,11244.7172319,11244.7541485,0.0
1731070254.09,11244.263567,11244.7067205,0.0
1731070254.59,11244.9623007,11244.7935752,0.0
1731070255.09,11245.0749874,11244.980839,0.0
1731070255.59,11244.8241374,11244.9322268,0.0
1731070256.09,11244.9810552,11245.492895,0.0
1731070256.59,11245.2705662,11245.1166735,0.0
1731070257.1,11245.8464225,11245.7306236,0.0
1731070257.6,11245.4422615,11245.5093849,0.0
