['time', 'x', 'y', 'z']
['1731067973.08', '5053.02', '5077.26', '0.0']
['1731067973.58', '5053.15', '5077.45', '0.0']
['1731067974.08', '5053.28', '5077.64', '0.0']
['1731067974.58', '5053.41', '5077.83', '0.0']
['1731067975.08', '5053.54', '5078.02', '0.0']
['1731067975.59', '5053.67', '5078.21', '0.0']
['1731067976.08', '5053.8', '5078.4', '0.0']
['1731067976.58', '5053.93', '5078.59', '0.0']
['1731067977.08', '5054.06', '5078.78', '0.0']
['1731067977.59', '5054.19', '5078.97', '0.0']
['1731067978.08', '5054.32', '5079.16', '0.0']
['1731067978.59', '5054.45', '5079.35', '0.0']
['1731067979.09', '5054.58', '5079.54', '0.0']
['1731067979.59', '5054.71', '5079.73', '0.0']
['1731067980.09', '5054.84', '5079.92', '0.0']
['1731067980.59', '5054.97', '5080.11', '0.0']
['1731067981.09', '5055.1', '5080.3', '0.0']
['1731067981.59', '5055.23', '5080.49', '0.0']
['1731067982.09', '5055.36', '5080.68', '0.0']
['1731067982.59', '5055.49', '5080.87', '0.0']
['1731067983.09', '5055.62', '5081.06', '0.0']
['1731067983.59', '5055.75', '5081.25', '0.0']
['1731067984.09', '5055.88', '5081.44', '0.0']
['1731067984.59', '5056.01', '5081.63', '0.0']
['1731067985.09', '5056.14', '5081.82', '0.0']
['1731067985.59', '5056.27', '5082.01', '0.0']
['1731067986.09', '5056.4', '5082.2', '0.0']
['1731067986.59', '5056.53', '5082.39', '0.0']
['1731067987.09', '5056.66', '5082.58', '0.0']
['1731067987.6', '5056.79', '5082.77', '0.0']
['1731067988.09', '5056.92', '5082.96', '0.0']
['1731067988.6', '5057.05', '5083.15', '0.0']
['1731067989.1', '5057.18', '5083.34', '0.0']
['1731067989.6', '5057.31', '5083.53', '0.0']
['1731067990.1', '5057.44', '5083.72', '0.0']
['1731067990.6', '5057.57', '5083.91', '0.0']
['1731067991.1', '5057.7', '5084.1', '0.0']
['1731067991.6', '5057.83', '5084.29', '0.0']
['1731067992.1', '5057.96', '5084.48', '0.0']
['1731067992.6', '5058.09', '5084.67', '0.0']
['1731067993.1', '5058.22', '5084.86', '0.0']
['1731067993.6', '5058.35', '5085.05', '0.0']
['1731067994.1', '5058.48', '5085.24', '0.0']
['1731067994.6', '5058.61', '5085.43', '0.0']
['1731067995.1', '5058.74', '5085.62', '0.0']
['1731067995.6', '5058.87', '5085.81', '0.0']
['1731067996.1', '5059.0', '5086.0', '0.0']
['1731067996.6', '5059.13', '5086.19', '0.0']
['1731067997.11', '5059.26', '5086.38', '0.0']
['1731067997.61', '5059.39', '5086.57', '0.0']
['1731067998.11', '5059.52', '5086.76', '0.0']
