1731067770.749457533: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1731067853.402570018: 64 bytes from 192.168.6.21: icmp_seq=166 ttl=63 time=2.08 ms
1731067853.902772034: 64 bytes from 192.168.6.21: icmp_seq=167 ttl=63 time=1.64 ms
1731067854.404731323: 64 bytes from 192.168.6.21: icmp_seq=168 ttl=63 time=2.63 ms
1731067854.905251120: 64 bytes from 192.168.6.21: icmp_seq=169 ttl=63 time=1.99 ms
1731067855.405877755: 64 bytes from 192.168.6.21: icmp_seq=170 ttl=63 time=1.53 ms
1731067855.908287731: 64 bytes from 192.168.6.21: icmp_seq=171 ttl=63 time=2.64 ms
1731067856.407071658: 64 bytes from 192.168.6.21: icmp_seq=172 ttl=63 time=1.51 ms
1731067856.910000126: 64 bytes from 192.168.6.21: icmp_seq=173 ttl=63 time=3.50 ms
1731067857.409625803: 64 bytes from 192.168.6.21: icmp_seq=174 ttl=63 time=2.01 ms
1731067857.909815274: 64 bytes from 192.168.6.21: icmp_seq=175 ttl=63 time=1.76 ms
1731067858.411972368: 64 bytes from 192.168.6.21: icmp_seq=176 ttl=63 time=2.43 ms
1731067858.912025648: 64 bytes from 192.168.6.21: icmp_seq=177 ttl=63 time=1.36 ms
1731067859.413565173: 64 bytes from 192.168.6.21: icmp_seq=178 ttl=63 time=2.44 ms
1731067859.914560351: 64 bytes from 192.168.6.21: icmp_seq=179 ttl=63 time=2.39 ms
1731067860.415666855: 64 bytes from 192.168.6.21: icmp_seq=180 ttl=63 time=1.72 ms
1731067860.916860938: 64 bytes from 192.168.6.21: icmp_seq=181 ttl=63 time=2.39 ms
1731067861.417356364: 64 bytes from 192.168.6.21: icmp_seq=182 ttl=63 time=2.29 ms
1731067861.928030679: 64 bytes from 192.168.6.21: icmp_seq=183 ttl=63 time=11.7 ms
1731067862.423529579: 64 bytes from 192.168.6.21: icmp_seq=184 ttl=63 time=5.97 ms
1731067862.921681488: 64 bytes from 192.168.6.21: icmp_seq=185 ttl=63 time=3.98 ms
1731067863.422013378: 64 bytes from 192.168.6.21: icmp_seq=186 ttl=63 time=3.81 ms
1731067863.926137421: 64 bytes from 192.168.6.21: icmp_seq=187 ttl=63 time=6.23 ms
1731067864.425386339: 64 bytes from 192.168.6.21: icmp_seq=188 ttl=63 time=4.39 ms
