Time,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance
1731068802.81,40.3,0.614,0.0,1.72,7750.060174478111,19.9,0.702,0.0,5.39,4278.314861017127,19.8,1.133,0.0,1.68,4645.186078081265,19.8,0.441,0.0,1.35,4179.876278073311
1731068803.31,39.7,0.589,0.0,1.7,7750.119283066245,19.8,0.766,0.0,1.33,4278.221035547369,19.8,0.707,0.0,1.62,4645.138757077123,19.8,0.48,0.0,0.778,4179.750746755122
1731068803.81,39.7,0.663,0.016,2.79,7750.00442781871,20.5,0.85,0.0,2.37,4278.127210123608,19.8,0.388,0.0,2.02,4645.09143612911,19.8,0.424,0.0,1.05,4179.625232003463
1731068804.31,39.7,0.911,0.0,9.86,7749.9724573984495,19.8,0.869,0.0,0.805,4278.033384745845,20.5,0.503,0.0,1.59,4645.044115237228,20.5,0.621,0.0,5.69,4179.499733819826
1731068804.81,40.3,0.892,0.0,1.66,7750.4934201731985,19.9,0.965,0.0,1.19,4277.939559414088,19.9,0.442,0.0,1.77,4644.996794401478,19.9,0.663,0.0,0.778,4179.3742522057055
1731068805.31,39.7,0.533,0.0,2.71,7750.376872145737,19.8,0.948,0.0,1.27,4277.845734128336,19.8,0.469,0.0,2.31,4644.94947362186,19.8,0.522,0.0,0.809,4179.248787162593
1731068805.81,40.3,0.593,0.0,2.09,7749.591041113431,19.8,0.897,0.0,0.8,4277.751908888594,20.5,0.365,0.0,1.73,4644.902152898379,20.5,0.574,0.0,0.965,4179.12333869198
1731068806.31,39.0,0.841,0.016,2.28,7749.995591686617,20.5,0.93,0.0,1.03,4277.658083694863,19.8,0.446,0.0,1.64,4644.854832231034,19.8,0.566,0.0,1.54,4178.997906795361
1731068806.81,39.7,0.605,0.016,2.6,7749.730228721092,19.8,0.818,0.0,1.03,4277.564258547146,19.8,0.627,0.0,8.68,4644.807511619832,19.8,0.554,0.0,0.845,4178.872491474224
1731068807.31,39.7,0.748,0.0,2.05,7749.759953190782,19.8,0.45,0.0,1.025,4277.470433445449,19.8,0.536,0.0,1.68,4644.760191064766,18.6,0.442,0.065,0.745,4178.747092730068
1731068807.81,40.3,1.088,0.0,2.17,7749.897109434334,20.5,0.523,0.0,1.02,4277.3766083897735,19.9,0.472,0.0,2.36,4644.712870565843,20.5,0.637,0.0,1.03,4178.621710564382
1731068808.31,39.7,0.847,0.0,2.09,7749.729459613412,19.8,0.512,0.0,0.866,4277.282783380122,20.5,0.458,0.0,1.58,4644.665550123066,19.8,0.467,0.0,1.5,4178.496344978658
1731068808.81,40.3,0.961,0.0,9.05,7749.756848334078,19.8,0.602,0.0,0.895,4277.188958416497,19.8,0.456,0.0,2.26,4644.618229736432,19.8,0.604,0.0,0.937,4178.370995974389
1731068809.31,39.7,0.777,0.0,2.44,7749.937393916258,19.9,0.615,0.0,0.757,4277.095133498902,19.9,0.478,0.0,1.89,4644.570909405949,19.8,0.45,0.0,0.888,4178.245663553065
1731068809.81,40.3,0.576,0.0,2.33,7749.630582151866,20.5,0.45,0.0,0.966,4277.001308627341,20.5,0.49,0.0,1.46,4644.523589131613,19.8,0.622,0.0,0.954,4178.120347716183
1731068810.31,39.0,0.762,0.016,1.75,7749.977865693112,19.8,0.474,0.0,1.28,4276.907483801819,19.8,0.502,0.0,1.83,4644.476268913429,20.5,0.616,0.0,1.02,4177.995048465233
1731068810.81,40.4,0.63,0.0,1.49,7749.887679624376,19.8,0.478,0.0,6.98,4276.813659022334,19.8,0.478,0.0,2.06,4644.428948751396,19.8,0.589,0.0,1.3,4177.869765801706
