Time,C1_X,C1_Y,C1_Z
1731069050.87,5332.78,5486.14,0.0
1731069051.37,5332.91,5486.33,0.0
1731069051.87,5333.04,5486.52,0.0
1731069052.37,5333.17,5486.71,0.0
1731069052.87,5333.3,5486.9,0.0
1731069053.37,5333.43,5487.09,0.0
1731069053.87,5333.56,5487.28,0.0
1731069054.38,5333.69,5487.47,0.0
1731069054.88,5333.82,5487.66,0.0
1731069055.38,5333.95,5487.85,0.0
1731069055.88,5334.08,5488.04,0.0
1731069056.38,5334.21,5488.23,0.0
1731069056.88,5334.34,5488.42,0.0
1731069057.38,5334.47,5488.61,0.0
1731069057.88,5334.6,5488.8,0.0
1731069058.38,5334.73,5488.99,0.0
1731069058.88,5334.86,5489.18,0.0
1731069059.38,5334.99,5489.37,0.0
1731069059.88,5335.12,5489.56,0.0
1731069060.38,5335.25,5489.75,0.0
1731069060.88,5335.38,5489.94,0.0
1731069061.38,5335.51,5490.13,0.0
1731069061.88,5335.64,5490.32,0.0
1731069062.38,5335.77,5490.51,0.0
1731069062.88,5335.9,5490.7,0.0
1731069063.39,5336.03,5490.89,0.0
1731069063.89,5336.16,5491.08,0.0
1731069064.39,5336.29,5491.27,0.0
1731069064.89,5336.42,5491.46,0.0
1731069065.39,5336.55,5491.65,0.0
1731069065.89,5336.68,5491.84,0.0
1731069066.39,5336.81,5492.03,0.0
1731069066.89,5336.94,5492.22,0.0
1731069067.39,5337.07,5492.41,0.0
1731069067.89,5337.2,5492.6,0.0
1731069068.39,5337.33,5492.79,0.0
1731069068.89,5337.46,5492.98,0.0
1731069069.39,5337.59,5493.17,0.0
1731069069.9,5337.72,5493.36,0.0
1731069070.4,5337.85,5493.55,0.0
1731069070.9,5337.98,5493.74,0.0
1731069071.4,5338.11,5493.93,0.0
1731069071.9,5338.24,5494.12,0.0
1731069072.4,5338.37,5494.31,0.0
1731069072.9,5338.5,5494.5,0.0
1731069073.4,5338.63,5494.69,0.0
1731069073.9,5338.76,5494.88,0.0
1731069074.4,5338.89,5495.07,0.0
1731069074.9,5339.02,5495.26,0.0
1731069075.4,5339.15,5495.45,0.0
1731069075.9,5339.28,5495.64,0.0
1731069076.4,5339.41,5495.83,0.0
1731069076.91,5339.54,5496.02,0.0
1731069077.4,5339.67,5496.21,0.0
1731069077.91,5339.8,5496.4,0.0
1731069078.41,5339.93,5496.59,0.0
1731069078.91,5340.06,5496.78,0.0
1731069079.41,5340.19,5496.97,0.0
1731069079.91,5340.32,5497.16,0.0
1731069080.41,5340.45,5497.35,0.0
1731069080.91,5340.58,5497.54,0.0
1731069081.41,5340.71,5497.73,0.0
1731069081.91,5340.84,5497.92,0.0
1731069082.41,5340.97,5498.11,0.0
1731069082.91,5341.1,5498.3,0.0
1731069083.41,5341.23,5498.49,0.0
1731069083.91,5341.36,5498.68,0.0
1731069084.41,5341.49,5498.87,0.0
1731069084.91,5341.62,5499.06,0.0
1731069085.41,5341.75,5499.25,0.0
1731069085.92,5341.88,5499.44,0.0
1731069086.41,5342.01,5499.63,0.0
1731069086.91,5342.14,5499.82,0.0
1731069087.42,5342.27,5500.01,0.0
1731069087.91,5342.4,5500.2,0.0
1731069088.42,5342.53,5500.39,0.0
1731069088.92,5342.66,5500.58,0.0
1731069089.42,5342.79,5500.77,0.0
1731069089.92,5342.92,5500.96,0.0
1731069090.42,5343.05,5501.15,0.0
1731069090.92,5343.18,5501.34,0.0
1731069091.42,5343.31,5501.53,0.0
1731069091.92,5343.44,5501.72,0.0
1731069092.42,5343.57,5501.91,0.0
1731069092.92,5343.7,5502.1,0.0
1731069093.42,5343.83,5502.29,0.0
1731069093.92,5343.96,5502.48,0.0
1731069094.42,5344.09,5502.67,0.0
1731069094.92,5344.22,5502.86,0.0
1731069095.42,5344.35,5503.05,0.0
1731069095.92,5344.48,5503.24,0.0
1731069096.42,5344.61,5503.43,0.0
1731069096.92,5344.74,5503.62,0.0
1731069097.42,5344.87,5503.81,0.0
1731069097.92,5345.0,5504.0,0.0
1731069098.43,5345.13,5504.19,0.0
1731069098.93,5345.26,5504.38,0.0
1731069099.43,5345.39,5504.57,0.0
1731069099.93,5345.52,5504.76,0.0
1731069100.43,5345.65,5504.95,0.0
1731069100.93,5345.78,5505.14,0.0
