Time,Bitrate,Jitter,Datagrams,Delay,C1_X,C1_Y,C1_Z,F1_X,F1_Y,F1_Z,Distance
1731068874.81,19.8,0.49,0.0,0.81,5287.02,5419.26,0.0,7220.9,9220.4,0.0,4264.804468436975
1731068875.31,19.8,0.4,0.0,0.764,5287.15,5419.45,0.0,7221.0,9220.5,0.0,4264.710649622082
1731068875.81,20.5,0.391,0.0,1.22,5287.28,5419.64,0.0,7221.1,9220.6,0.0,4264.6168308536235
1731068876.31,19.9,0.461,0.0,1.32,5287.41,5419.83,0.0,7221.2,9220.7,0.0,4264.5230121316035
1731068876.81,19.8,0.564,0.0,0.794,5287.54,5420.02,0.0,7221.3,9220.8,0.0,4264.429193456023
1731068877.31,19.8,0.583,0.0,1.01,5287.67,5420.21,0.0,7221.4,9220.9,0.0,4264.33537482689
1731068877.81,20.5,0.508,0.0,1.09,5287.8,5420.4,0.0,7221.5,9221.0,0.0,4264.241556244206
1731068878.31,19.8,0.676,0.0,7.84,5287.93,5420.59,0.0,7221.6,9221.1,0.0,4264.14773770797
1731068878.81,19.8,0.664,0.0,0.862,5288.06,5420.78,0.0,7221.7,9221.2,0.0,4264.05391921819
1731068879.31,19.9,0.624,0.0,0.658,5288.19,5420.97,0.0,7221.8,9221.3,0.0,4263.960100774864
1731068879.81,20.5,0.693,0.0,0.979,5288.32,5421.16,0.0,7221.9,9221.4,0.0,4263.866282378001
1731068880.31,19.8,0.608,0.0,1.29,5288.45,5421.35,0.0,7222.0,9221.5,0.0,4263.7724640276
1731068880.81,19.8,0.636,0.0,0.92,5288.58,5421.54,0.0,7222.1,9221.6,0.0,4263.678645723667
1731068881.31,19.8,0.685,0.0,1.0,5288.71,5421.73,0.0,7222.2,9221.7,0.0,4263.584827466202
1731068881.81,20.5,0.765,0.0,1.31,5288.84,5421.92,0.0,7222.3,9221.8,0.0,4263.491009255208
1731068882.31,19.8,0.76,0.0,0.841,5288.97,5422.11,0.0,7222.4,9221.9,0.0,4263.397191090691
1731068882.81,19.9,0.742,0.0,1.18,5289.1,5422.3,0.0,7222.5,9222.0,0.0,4263.303372972653
1731068883.31,19.8,0.916,0.0,1.14,5289.23,5422.49,0.0,7222.6,9222.1,0.0,4263.209554901096
1731068883.81,19.8,0.528,0.0,2.28,5289.36,5422.68,0.0,7222.7,9222.2,0.0,4263.115736876024
1731068884.31,20.5,0.498,0.0,1.05,5289.49,5422.87,0.0,7222.8,9222.3,0.0,4263.021918897438
1731068884.81,19.8,0.761,0.0,1.09,5289.62,5423.06,0.0,7222.9,9222.4,0.0,4262.928100965344
1731068885.31,19.9,0.586,0.0,0.932,5289.75,5423.25,0.0,7223.0,9222.5,0.0,4262.834283079745
1731068885.81,20.5,0.567,0.0,0.987,5289.88,5423.44,0.0,7223.1,9222.6,0.0,4262.740465240642
1731068886.31,19.9,0.775,0.0,1.68,5290.01,5423.63,0.0,7223.2,9222.7,0.0,4262.6466474480385
1731068886.81,19.8,0.628,0.0,0.747,5290.14,5423.82,0.0,7223.3,9222.8,0.0,4262.552829701937
1731068887.31,19.8,0.648,0.0,1.13,5290.27,5424.01,0.0,7223.4,9222.9,0.0,4262.459012002343
1731068887.81,20.5,0.79,0.0,1.31,5290.4,5424.2,0.0,7223.5,9223.0,0.0,4262.36519434926
1731068888.31,19.8,0.696,0.0,0.829,5290.53,5424.39,0.0,7223.6,9223.1,0.0,4262.271376742688
1731068888.81,19.8,0.815,0.0,4.91,5290.66,5424.58,0.0,7223.7,9223.2,0.0,4262.17755918263
1731068889.31,19.9,0.805,0.0,1.6,5290.79,5424.77,0.0,7223.8,9223.3,0.0,4262.08374166909
1731068889.81,20.5,0.896,0.0,0.926,5290.92,5424.96,0.0,7223.9,9223.4,0.0,4261.989924202074
1731068890.31,19.8,1.045,0.0,0.9,5291.05,5425.15,0.0,7224.0,9223.5,0.0,4261.896106781582
1731068890.81,19.8,0.925,0.0,0.983,5291.18,5425.34,0.0,7224.1,9223.6,0.0,4261.802289407617
1731068891.31,19.8,1.094,0.0,1.53,5291.31,5425.53,0.0,7224.2,9223.7,0.0,4261.708472080182
1731068891.81,20.5,0.99,0.0,0.825,5291.44,5425.72,0.0,7224.3,9223.8,0.0,4261.614654799281
1731068892.31,19.2,0.517,0.0,1.03,5291.57,5425.91,0.0,7224.4,9223.9,0.0,4261.520837564918
