1731067770.469980967: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067880.182151001: 64 bytes from 192.168.6.12: icmp_seq=220 ttl=63 time=1.73 ms
1731067880.683458054: 64 bytes from 192.168.6.12: icmp_seq=221 ttl=63 time=2.02 ms
1731067881.183750810: 64 bytes from 192.168.6.12: icmp_seq=222 ttl=63 time=1.78 ms
1731067881.690629037: 64 bytes from 192.168.6.12: icmp_seq=223 ttl=63 time=6.83 ms
1731067882.188059985: 64 bytes from 192.168.6.12: icmp_seq=224 ttl=63 time=2.55 ms
1731067882.688042253: 64 bytes from 192.168.6.12: icmp_seq=225 ttl=63 time=1.60 ms
1731067883.190157126: 64 bytes from 192.168.6.12: icmp_seq=226 ttl=63 time=2.23 ms
1731067883.691414243: 64 bytes from 192.168.6.12: icmp_seq=227 ttl=63 time=2.42 ms
1731067884.191765761: 64 bytes from 192.168.6.12: icmp_seq=228 ttl=63 time=1.76 ms
1731067884.693487680: 64 bytes from 192.168.6.12: icmp_seq=229 ttl=63 time=2.63 ms
1731067885.194531311: 64 bytes from 192.168.6.12: icmp_seq=230 ttl=63 time=2.39 ms
1731067885.694712462: 64 bytes from 192.168.6.12: icmp_seq=231 ttl=63 time=1.67 ms
1731067886.197207547: 64 bytes from 192.168.6.12: icmp_seq=232 ttl=63 time=2.70 ms
1731067886.702753304: 64 bytes from 192.168.6.12: icmp_seq=233 ttl=63 time=7.30 ms
1731067887.198597912: 64 bytes from 192.168.6.12: icmp_seq=234 ttl=63 time=1.59 ms
1731067887.700147569: 64 bytes from 192.168.6.12: icmp_seq=235 ttl=63 time=2.19 ms
1731067888.201004988: 64 bytes from 192.168.6.12: icmp_seq=236 ttl=63 time=1.90 ms
1731067888.701199797: 64 bytes from 192.168.6.12: icmp_seq=237 ttl=63 time=1.54 ms
1731067889.203773017: 64 bytes from 192.168.6.12: icmp_seq=238 ttl=63 time=2.37 ms
1731067889.703002211: 64 bytes from 192.168.6.12: icmp_seq=239 ttl=63 time=1.42 ms
1731067890.204241233: 64 bytes from 192.168.6.12: icmp_seq=240 ttl=63 time=1.58 ms
1731067890.706080160: 64 bytes from 192.168.6.12: icmp_seq=241 ttl=63 time=1.88 ms
1731067891.213553667: 64 bytes from 192.168.6.12: icmp_seq=242 ttl=63 time=9.31 ms
1731067891.706883930: 64 bytes from 192.168.6.12: icmp_seq=243 ttl=63 time=2.36 ms
1731067892.224949991: 64 bytes from 192.168.6.12: icmp_seq=244 ttl=63 time=19.5 ms
1731067892.709199946: 64 bytes from 192.168.6.12: icmp_seq=245 ttl=63 time=2.25 ms
1731067893.210369692: 64 bytes from 192.168.6.12: icmp_seq=246 ttl=63 time=2.45 ms
1731067893.710208509: 64 bytes from 192.168.6.12: icmp_seq=247 ttl=63 time=1.50 ms
1731067894.211495271: 64 bytes from 192.168.6.12: icmp_seq=248 ttl=63 time=2.69 ms
1731067894.711344643: 64 bytes from 192.168.6.12: icmp_seq=249 ttl=63 time=1.19 ms
1731067895.213384297: 64 bytes from 192.168.6.12: icmp_seq=250 ttl=63 time=1.54 ms
1731067895.717822981: 64 bytes from 192.168.6.12: icmp_seq=251 ttl=63 time=4.35 ms
1731067896.216799339: 64 bytes from 192.168.6.12: icmp_seq=252 ttl=63 time=1.77 ms
1731067896.716793001: 64 bytes from 192.168.6.12: icmp_seq=253 ttl=63 time=1.42 ms
1731067897.218455887: 64 bytes from 192.168.6.12: icmp_seq=254 ttl=63 time=2.04 ms
1731067897.718583527: 64 bytes from 192.168.6.12: icmp_seq=255 ttl=63 time=1.72 ms
1731067898.220295692: 64 bytes from 192.168.6.12: icmp_seq=256 ttl=63 time=1.70 ms
1731067898.721532942: 64 bytes from 192.168.6.12: icmp_seq=257 ttl=63 time=2.08 ms
1731067899.222481431: 64 bytes from 192.168.6.12: icmp_seq=258 ttl=63 time=1.87 ms
1731067899.723567921: 64 bytes from 192.168.6.12: icmp_seq=259 ttl=63 time=1.86 ms
1731067900.225943479: 64 bytes from 192.168.6.12: icmp_seq=260 ttl=63 time=1.68 ms
1731067900.733915639: 64 bytes from 192.168.6.12: icmp_seq=261 ttl=63 time=9.04 ms
1731067901.227644645: 64 bytes from 192.168.6.12: icmp_seq=262 ttl=63 time=2.42 ms
1731067901.727922158: 64 bytes from 192.168.6.12: icmp_seq=263 ttl=63 time=1.59 ms
1731067902.229644876: 64 bytes from 192.168.6.12: icmp_seq=264 ttl=63 time=2.77 ms
1731067902.759256995: 64 bytes from 192.168.6.12: icmp_seq=265 ttl=63 time=12.5 ms
1731067903.232739468: 64 bytes from 192.168.6.12: icmp_seq=266 ttl=63 time=2.45 ms
1731067903.734130418: 64 bytes from 192.168.6.12: icmp_seq=267 ttl=63 time=2.41 ms
1731067904.235032704: 64 bytes from 192.168.6.12: icmp_seq=268 ttl=63 time=2.32 ms
1731067904.736069359: 64 bytes from 192.168.6.12: icmp_seq=269 ttl=63 time=1.73 ms
1731067905.242742717: 64 bytes from 192.168.6.12: icmp_seq=270 ttl=63 time=7.70 ms
1731067905.737950212: 64 bytes from 192.168.6.12: icmp_seq=271 ttl=63 time=1.94 ms
1731067906.237787627: 64 bytes from 192.168.6.12: icmp_seq=272 ttl=63 time=1.77 ms
1731067906.740112265: 64 bytes from 192.168.6.12: icmp_seq=273 ttl=63 time=2.61 ms
1731067907.241480957: 64 bytes from 192.168.6.12: icmp_seq=274 ttl=63 time=2.07 ms
1731067907.740661506: 64 bytes from 192.168.6.12: icmp_seq=275 ttl=63 time=1.37 ms
1731067908.242870762: 64 bytes from 192.168.6.12: icmp_seq=276 ttl=63 time=2.26 ms
1731067908.742863885: 64 bytes from 192.168.6.12: icmp_seq=277 ttl=63 time=1.67 ms
1731067909.244289755: 64 bytes from 192.168.6.12: icmp_seq=278 ttl=63 time=1.73 ms
1731067909.745759613: 64 bytes from 192.168.6.12: icmp_seq=279 ttl=63 time=2.14 ms
1731067910.245845382: 64 bytes from 192.168.6.12: icmp_seq=280 ttl=63 time=1.96 ms
1731067910.747122977: 64 bytes from 192.168.6.12: icmp_seq=281 ttl=63 time=2.43 ms
1731067911.247547910: 64 bytes from 192.168.6.12: icmp_seq=282 ttl=63 time=1.73 ms
