Time,F2_X,F2_Y,F2_Z
1731070034.87,6952.0,10178.0,0.0
1731070035.37,6952.1,10178.15,0.0
1731070035.87,6952.2,10178.3,0.0
1731070036.37,6952.3,10178.45,0.0
1731070036.87,6952.4,10178.6,0.0
1731070037.38,6952.5,10178.75,0.0
1731070037.88,6952.6,10178.9,0.0
1731070038.38,6952.7,10179.05,0.0
1731070038.88,6952.8,10179.2,0.0
1731070039.38,6952.9,10179.35,0.0
1731070039.88,6953.0,10179.5,0.0
1731070040.38,6953.1,10179.65,0.0
1731070040.88,6953.2,10179.8,0.0
1731070041.38,6953.3,10179.95,0.0
1731070041.88,6953.4,10180.1,0.0
1731070042.38,6953.5,10180.25,0.0
1731070042.88,6953.6,10180.4,0.0
1731070043.38,6953.7,10180.55,0.0
1731070043.88,6953.8,10180.7,0.0
1731070044.38,6953.9,10180.85,0.0
1731070044.88,6954.0,10181.0,0.0
1731070045.38,6954.1,10181.15,0.0
1731070045.88,6954.2,10181.3,0.0
1731070046.39,6954.3,10181.45,0.0
1731070046.89,6954.4,10181.6,0.0
1731070047.39,6954.5,10181.75,0.0
1731070047.89,6954.6,10181.9,0.0
1731070048.39,6954.7,10182.05,0.0
1731070048.89,6954.8,10182.2,0.0
1731070049.39,6954.9,10182.35,0.0
1731070049.89,6955.0,10182.5,0.0
1731070050.39,6955.1,10182.65,0.0
1731070050.89,6955.2,10182.8,0.0
1731070051.39,6955.3,10182.95,0.0
1731070051.89,6955.4,10183.1,0.0
1731070052.39,6955.5,10183.25,0.0
1731070052.89,6955.6,10183.4,0.0
1731070053.39,6955.7,10183.55,0.0
1731070053.89,6955.8,10183.7,0.0
1731070054.39,6955.9,10183.85,0.0
1731070054.89,6956.0,10184.0,0.0
1731070055.39,6956.1,10184.15,0.0
1731070055.89,6956.2,10184.3,0.0
1731070056.39,6956.3,10184.45,0.0
1731070056.9,6956.4,10184.6,0.0
1731070057.4,6956.5,10184.75,0.0
1731070057.9,6956.6,10184.9,0.0
1731070058.4,6956.7,10185.05,0.0
1731070058.9,6956.8,10185.2,0.0
1731070059.4,6956.9,10185.35,0.0
1731070059.9,6957.0,10185.5,0.0
1731070060.4,6957.1,10185.65,0.0
1731070060.9,6957.2,10185.8,0.0
1731070061.4,6957.3,10185.95,0.0
1731070061.9,6957.4,10186.1,0.0
1731070062.4,6957.5,10186.25,0.0
1731070062.9,6957.6,10186.4,0.0
1731070063.4,6957.7,10186.55,0.0
1731070063.9,6957.8,10186.7,0.0
1731070064.4,6957.9,10186.85,0.0
1731070064.9,6958.0,10187.0,0.0
1731070065.4,6958.1,10187.15,0.0
1731070065.91,6958.2,10187.3,0.0
1731070066.41,6958.3,10187.45,0.0
1731070066.91,6958.4,10187.6,0.0
1731070067.41,6958.5,10187.75,0.0
1731070067.91,6958.6,10187.9,0.0
1731070068.41,6958.7,10188.05,0.0
1731070068.91,6958.8,10188.2,0.0
1731070069.41,6958.9,10188.35,0.0
1731070069.91,6959.0,10188.5,0.0
1731070070.41,6959.1,10188.65,0.0
1731070070.91,6959.2,10188.8,0.0
1731070071.41,6959.3,10188.95,0.0
1731070071.91,6959.4,10189.1,0.0
1731070072.41,6959.5,10189.25,0.0
1731070072.91,6959.6,10189.4,0.0
