1731067770.372035904: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1731067840.505284517: 64 bytes from 192.168.6.21: icmp_seq=141 ttl=63 time=2.14 ms
1731067841.006001326: 64 bytes from 192.168.6.21: icmp_seq=142 ttl=63 time=1.73 ms
1731067841.508055772: 64 bytes from 192.168.6.21: icmp_seq=143 ttl=63 time=2.29 ms
1731067842.008493821: 64 bytes from 192.168.6.21: icmp_seq=144 ttl=63 time=1.37 ms
1731067842.509468543: 64 bytes from 192.168.6.21: icmp_seq=145 ttl=63 time=1.61 ms
1731067843.012151750: 64 bytes from 192.168.6.21: icmp_seq=146 ttl=63 time=2.87 ms
1731067843.511398282: 64 bytes from 192.168.6.21: icmp_seq=147 ttl=63 time=1.60 ms
1731067844.012812799: 64 bytes from 192.168.6.21: icmp_seq=148 ttl=63 time=1.46 ms
1731067844.517933147: 64 bytes from 192.168.6.21: icmp_seq=149 ttl=63 time=5.63 ms
1731067845.014551313: 64 bytes from 192.168.6.21: icmp_seq=150 ttl=63 time=1.63 ms
1731067845.515914297: 64 bytes from 192.168.6.21: icmp_seq=151 ttl=63 time=1.75 ms
1731067846.017965141: 64 bytes from 192.168.6.21: icmp_seq=152 ttl=63 time=2.11 ms
1731067846.518828072: 64 bytes from 192.168.6.21: icmp_seq=153 ttl=63 time=2.04 ms
1731067847.019123906: 64 bytes from 192.168.6.21: icmp_seq=154 ttl=63 time=1.98 ms
1731067847.519979535: 64 bytes from 192.168.6.21: icmp_seq=155 ttl=63 time=2.06 ms
1731067848.021124669: 64 bytes from 192.168.6.21: icmp_seq=156 ttl=63 time=2.51 ms
1731067848.522223418: 64 bytes from 192.168.6.21: icmp_seq=157 ttl=63 time=2.34 ms
1731067849.023035654: 64 bytes from 192.168.6.21: icmp_seq=158 ttl=63 time=2.14 ms
1731067849.524844662: 64 bytes from 192.168.6.21: icmp_seq=159 ttl=63 time=3.30 ms
1731067850.023462731: 64 bytes from 192.168.6.21: icmp_seq=160 ttl=63 time=1.53 ms
1731067850.525109757: 64 bytes from 192.168.6.21: icmp_seq=161 ttl=63 time=1.47 ms
1731067851.027119652: 64 bytes from 192.168.6.21: icmp_seq=162 ttl=63 time=2.54 ms
1731067851.527152836: 64 bytes from 192.168.6.21: icmp_seq=163 ttl=63 time=1.37 ms
1731067852.028122989: 64 bytes from 192.168.6.21: icmp_seq=164 ttl=63 time=1.43 ms
1731067852.530662371: 64 bytes from 192.168.6.21: icmp_seq=165 ttl=63 time=2.51 ms
1731067853.030152705: 64 bytes from 192.168.6.21: icmp_seq=166 ttl=63 time=1.80 ms
