['time', 'x', 'y', 'z']
['1731067952.56', '6536.3', '9554.45', '0.0']
['1731067953.06', '6536.4', '9554.6', '0.0']
['1731067953.56', '6536.5', '9554.75', '0.0']
['1731067954.06', '6536.6', '9554.9', '0.0']
['1731067954.56', '6536.7', '9555.05', '0.0']
['1731067955.06', '6536.8', '9555.2', '0.0']
['1731067955.56', '6536.9', '9555.35', '0.0']
['1731067956.06', '6537.0', '9555.5', '0.0']
['1731067956.56', '6537.1', '9555.65', '0.0']
['1731067957.06', '6537.2', '9555.8', '0.0']
['1731067957.56', '6537.3', '9555.95', '0.0']
['1731067958.06', '6537.4', '9556.1', '0.0']
['1731067958.56', '6537.5', '9556.25', '0.0']
['1731067959.07', '6537.6', '9556.4', '0.0']
['1731067959.57', '6537.7', '9556.55', '0.0']
['1731067960.07', '6537.8', '9556.7', '0.0']
['1731067960.57', '6537.9', '9556.85', '0.0']
['1731067961.07', '6538.0', '9557.0', '0.0']
['1731067961.57', '6538.1', '9557.15', '0.0']
['1731067962.07', '6538.2', '9557.3', '0.0']
['1731067962.57', '6538.3', '9557.45', '0.0']
['1731067963.07', '6538.4', '9557.6', '0.0']
['1731067963.57', '6538.5', '9557.75', '0.0']
['1731067964.07', '6538.6', '9557.9', '0.0']
['1731067964.57', '6538.7', '9558.05', '0.0']
['1731067965.07', '6538.8', '9558.2', '0.0']
['1731067965.57', '6538.9', '9558.35', '0.0']
['1731067966.07', '6539.0', '9558.5', '0.0']
['1731067966.57', '6539.1', '9558.65', '0.0']
['1731067967.07', '6539.2', '9558.8', '0.0']
['1731067967.57', '6539.3', '9558.95', '0.0']
['1731067968.08', '6539.4', '9559.1', '0.0']
['1731067968.58', '6539.5', '9559.25', '0.0']
['1731067969.08', '6539.6', '9559.4', '0.0']
['1731067969.58', '6539.7', '9559.55', '0.0']
['1731067970.08', '6539.8', '9559.7', '0.0']
['1731067970.58', '6539.9', '9559.85', '0.0']
['1731067971.08', '6540.0', '9560.0', '0.0']
['1731067971.58', '6540.1', '9560.15', '0.0']
['1731067972.08', '6540.2', '9560.3', '0.0']
['1731067972.58', '6540.3', '9560.45', '0.0']
['1731067973.08', '6540.4', '9560.6', '0.0']
['1731067973.58', '6540.5', '9560.75', '0.0']
['1731067974.08', '6540.6', '9560.9', '0.0']
['1731067974.58', '6540.7', '9561.05', '0.0']
['1731067975.08', '6540.8', '9561.2', '0.0']
['1731067975.59', '6540.9', '9561.35', '0.0']
['1731067976.08', '6541.0', '9561.5', '0.0']
['1731067976.58', '6541.1', '9561.65', '0.0']
['1731067977.08', '6541.2', '9561.8', '0.0']
['1731067977.58', '6541.3', '9561.95', '0.0']
['1731067978.08', '6541.4', '9562.1', '0.0']
['1731067978.58', '6541.5', '9562.25', '0.0']
['1731067979.08', '6541.6', '9562.4', '0.0']
['1731067979.59', '6541.7', '9562.55', '0.0']
['1731067980.09', '6541.8', '9562.7', '0.0']
['1731067980.59', '6541.9', '9562.85', '0.0']
['1731067981.09', '6542.0', '9563.0', '0.0']
['1731067981.59', '6542.1', '9563.15', '0.0']
['1731067982.09', '6542.2', '9563.3', '0.0']
['1731067982.59', '6542.3', '9563.45', '0.0']
['1731067983.09', '6542.4', '9563.6', '0.0']
['1731067983.59', '6542.5', '9563.75', '0.0']
['1731067984.09', '6542.6', '9563.9', '0.0']
['1731067984.59', '6542.7', '9564.05', '0.0']
['1731067985.09', '6542.8', '9564.2', '0.0']
['1731067985.59', '6542.9', '9564.35', '0.0']
['1731067986.09', '6543.0', '9564.5', '0.0']
['1731067986.59', '6543.1', '9564.65', '0.0']
['1731067987.09', '6543.2', '9564.8', '0.0']
['1731067987.59', '6543.3', '9564.95', '0.0']
['1731067988.09', '6543.4', '9565.1', '0.0']
['1731067988.59', '6543.5', '9565.25', '0.0']
['1731067989.09', '6543.6', '9565.4', '0.0']
['1731067989.59', '6543.7', '9565.55', '0.0']
['1731067990.1', '6543.8', '9565.7', '0.0']
['1731067990.6', '6543.9', '9565.85', '0.0']
['1731067991.1', '6544.0', '9566.0', '0.0']
['1731067991.6', '6544.1', '9566.15', '0.0']
['1731067992.1', '6544.2', '9566.3', '0.0']
['1731067992.6', '6544.3', '9566.45', '0.0']
['1731067993.1', '6544.4', '9566.6', '0.0']
