1731067770.230885577: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731068536.462950612: 64 bytes from 192.168.6.12: icmp_seq=1517 ttl=64 time=0.834 ms
1731068536.987010193: 64 bytes from 192.168.6.12: icmp_seq=1518 ttl=64 time=1.78 ms
1731068537.488452285: 64 bytes from 192.168.6.12: icmp_seq=1519 ttl=64 time=0.791 ms
1731068538.011021125: 64 bytes from 192.168.6.12: icmp_seq=1520 ttl=64 time=1.47 ms
1731068538.511042099: 64 bytes from 192.168.6.12: icmp_seq=1521 ttl=64 time=0.842 ms
1731068539.034859812: 64 bytes from 192.168.6.12: icmp_seq=1522 ttl=64 time=1.30 ms
1731068539.535189332: 64 bytes from 192.168.6.12: icmp_seq=1523 ttl=64 time=0.895 ms
1731068540.035976674: 64 bytes from 192.168.6.12: icmp_seq=1524 ttl=64 time=0.985 ms
1731068540.536130440: 64 bytes from 192.168.6.12: icmp_seq=1525 ttl=64 time=0.891 ms
1731068541.051486940: 64 bytes from 192.168.6.12: icmp_seq=1526 ttl=64 time=1.52 ms
1731068541.553038034: 64 bytes from 192.168.6.12: icmp_seq=1527 ttl=64 time=2.21 ms
1731068542.052410547: 64 bytes from 192.168.6.12: icmp_seq=1528 ttl=64 time=1.16 ms
1731068542.553738772: 64 bytes from 192.168.6.12: icmp_seq=1529 ttl=64 time=1.11 ms
1731068543.054679426: 64 bytes from 192.168.6.12: icmp_seq=1530 ttl=64 time=1.02 ms
1731068543.555265742: 64 bytes from 192.168.6.12: icmp_seq=1531 ttl=64 time=1.30 ms
1731068544.056735191: 64 bytes from 192.168.6.12: icmp_seq=1532 ttl=64 time=1.06 ms
1731068544.557076277: 64 bytes from 192.168.6.12: icmp_seq=1533 ttl=64 time=1.81 ms
1731068545.057199595: 64 bytes from 192.168.6.12: icmp_seq=1534 ttl=64 time=1.10 ms
1731068545.557313170: 64 bytes from 192.168.6.12: icmp_seq=1535 ttl=64 time=0.985 ms
1731068546.061286253: 64 bytes from 192.168.6.12: icmp_seq=1536 ttl=64 time=4.20 ms
1731068546.559139425: 64 bytes from 192.168.6.12: icmp_seq=1537 ttl=64 time=0.880 ms
1731068547.066674332: 64 bytes from 192.168.6.12: icmp_seq=1538 ttl=64 time=1.26 ms
1731068547.566846638: 64 bytes from 192.168.6.12: icmp_seq=1539 ttl=64 time=0.854 ms
1731068548.092108437: 64 bytes from 192.168.6.12: icmp_seq=1540 ttl=64 time=2.36 ms
1731068548.591716002: 64 bytes from 192.168.6.12: icmp_seq=1541 ttl=64 time=0.893 ms
1731068549.116593710: 64 bytes from 192.168.6.12: icmp_seq=1542 ttl=64 time=2.56 ms
1731068549.616170821: 64 bytes from 192.168.6.12: icmp_seq=1543 ttl=64 time=2.15 ms
1731068550.118851000: 64 bytes from 192.168.6.12: icmp_seq=1544 ttl=64 time=3.65 ms
1731068550.622081301: 64 bytes from 192.168.6.12: icmp_seq=1545 ttl=64 time=5.57 ms
1731068551.120077523: 64 bytes from 192.168.6.12: icmp_seq=1546 ttl=64 time=2.12 ms
1731068551.621632659: 64 bytes from 192.168.6.12: icmp_seq=1547 ttl=64 time=3.75 ms
1731068552.121557426: 64 bytes from 192.168.6.12: icmp_seq=1548 ttl=64 time=1.88 ms
1731068552.621641492: 64 bytes from 192.168.6.12: icmp_seq=1549 ttl=64 time=0.821 ms
1731068553.147272235: 64 bytes from 192.168.6.12: icmp_seq=1550 ttl=64 time=1.36 ms
1731068553.647105836: 64 bytes from 192.168.6.12: icmp_seq=1551 ttl=64 time=0.882 ms
1731068554.149340965: 64 bytes from 192.168.6.12: icmp_seq=1552 ttl=64 time=2.30 ms
1731068554.649111293: 64 bytes from 192.168.6.12: icmp_seq=1553 ttl=64 time=1.11 ms
1731068555.149585491: 64 bytes from 192.168.6.12: icmp_seq=1554 ttl=64 time=0.873 ms
1731068555.649668549: 64 bytes from 192.168.6.12: icmp_seq=1555 ttl=64 time=0.787 ms
1731068556.156149459: 64 bytes from 192.168.6.12: icmp_seq=1556 ttl=64 time=2.03 ms
1731068556.655019241: 64 bytes from 192.168.6.12: icmp_seq=1557 ttl=64 time=0.855 ms
1731068557.178583282: 64 bytes from 192.168.6.12: icmp_seq=1558 ttl=64 time=1.25 ms
1731068557.680014920: 64 bytes from 192.168.6.12: icmp_seq=1559 ttl=64 time=1.01 ms
1731068558.179935861: 64 bytes from 192.168.6.12: icmp_seq=1560 ttl=64 time=0.896 ms
1731068558.682320129: 64 bytes from 192.168.6.12: icmp_seq=1561 ttl=64 time=1.40 ms
1731068559.183691919: 64 bytes from 192.168.6.12: icmp_seq=1562 ttl=64 time=0.839 ms
1731068559.707176670: 64 bytes from 192.168.6.12: icmp_seq=1563 ttl=64 time=1.11 ms
1731068560.206613905: 64 bytes from 192.168.6.12: icmp_seq=1564 ttl=64 time=0.865 ms
1731068560.730607283: 64 bytes from 192.168.6.12: icmp_seq=1565 ttl=64 time=1.51 ms
1731068561.231483939: 64 bytes from 192.168.6.12: icmp_seq=1566 ttl=64 time=0.866 ms
1731068561.755121855: 64 bytes from 192.168.6.12: icmp_seq=1567 ttl=64 time=1.32 ms
1731068562.255272265: 64 bytes from 192.168.6.12: icmp_seq=1568 ttl=64 time=0.808 ms
1731068562.779716699: 64 bytes from 192.168.6.12: icmp_seq=1569 ttl=64 time=1.72 ms
1731068563.279880265: 64 bytes from 192.168.6.12: icmp_seq=1570 ttl=64 time=1.42 ms
1731068563.781017161: 64 bytes from 192.168.6.12: icmp_seq=1571 ttl=64 time=1.73 ms
1731068564.286093717: 64 bytes from 192.168.6.12: icmp_seq=1572 ttl=64 time=5.63 ms
1731068564.783400187: 64 bytes from 192.168.6.12: icmp_seq=1573 ttl=64 time=0.962 ms
1731068565.284314110: 64 bytes from 192.168.6.12: icmp_seq=1574 ttl=64 time=1.63 ms
1731068565.785155696: 64 bytes from 192.168.6.12: icmp_seq=1575 ttl=64 time=1.06 ms
1731068566.285007890: 64 bytes from 192.168.6.12: icmp_seq=1576 ttl=64 time=0.988 ms
1731068566.785357858: 64 bytes from 192.168.6.12: icmp_seq=1577 ttl=64 time=1.03 ms
1731068567.285472066: 64 bytes from 192.168.6.12: icmp_seq=1578 ttl=64 time=1.03 ms
1731068567.786444369: 64 bytes from 192.168.6.12: icmp_seq=1579 ttl=64 time=1.18 ms
1731068568.287301932: 64 bytes from 192.168.6.12: icmp_seq=1580 ttl=64 time=0.892 ms
1731068568.795909534: 64 bytes from 192.168.6.12: icmp_seq=1581 ttl=64 time=1.91 ms
1731068569.294558827: 64 bytes from 192.168.6.12: icmp_seq=1582 ttl=64 time=0.882 ms
1731068569.818399951: 64 bytes from 192.168.6.12: icmp_seq=1583 ttl=64 time=1.09 ms
1731068570.324995189: 64 bytes from 192.168.6.12: icmp_seq=1584 ttl=64 time=6.45 ms
1731068570.822161542: 64 bytes from 192.168.6.12: icmp_seq=1585 ttl=64 time=2.96 ms
1731068571.321335952: 64 bytes from 192.168.6.12: icmp_seq=1586 ttl=64 time=1.20 ms
1731068571.822352078: 64 bytes from 192.168.6.12: icmp_seq=1587 ttl=64 time=0.826 ms
1731068572.347479100: 64 bytes from 192.168.6.12: icmp_seq=1588 ttl=64 time=1.38 ms
1731068572.848177780: 64 bytes from 192.168.6.12: icmp_seq=1589 ttl=64 time=0.726 ms
1731068573.370199835: 64 bytes from 192.168.6.12: icmp_seq=1590 ttl=64 time=1.31 ms
1731068573.870962227: 64 bytes from 192.168.6.12: icmp_seq=1591 ttl=64 time=0.792 ms
1731068574.394689797: 64 bytes from 192.168.6.12: icmp_seq=1592 ttl=64 time=1.30 ms
1731068574.895339000: 64 bytes from 192.168.6.12: icmp_seq=1593 ttl=64 time=0.939 ms
1731068575.395338030: 64 bytes from 192.168.6.12: icmp_seq=1594 ttl=64 time=0.865 ms
1731068575.898271309: 64 bytes from 192.168.6.12: icmp_seq=1595 ttl=64 time=0.843 ms
1731068576.411013062: 64 bytes from 192.168.6.12: icmp_seq=1596 ttl=64 time=1.32 ms
1731068576.911222624: 64 bytes from 192.168.6.12: icmp_seq=1597 ttl=64 time=1.07 ms
1731068577.412091816: 64 bytes from 192.168.6.12: icmp_seq=1598 ttl=64 time=1.23 ms
1731068577.912683459: 64 bytes from 192.168.6.12: icmp_seq=1599 ttl=64 time=1.13 ms
1731068578.416324005: 64 bytes from 192.168.6.12: icmp_seq=1600 ttl=64 time=4.47 ms
1731068578.914498915: 64 bytes from 192.168.6.12: icmp_seq=1601 ttl=64 time=1.07 ms
1731068579.415194434: 64 bytes from 192.168.6.12: icmp_seq=1602 ttl=64 time=0.727 ms
1731068579.915362282: 64 bytes from 192.168.6.12: icmp_seq=1603 ttl=64 time=0.741 ms
1731068580.442380872: 64 bytes from 192.168.6.12: icmp_seq=1604 ttl=64 time=1.08 ms
1731068580.942604355: 64 bytes from 192.168.6.12: icmp_seq=1605 ttl=64 time=0.997 ms
1731068581.443392724: 64 bytes from 192.168.6.12: icmp_seq=1606 ttl=64 time=1.10 ms
1731068581.944366855: 64 bytes from 192.168.6.12: icmp_seq=1607 ttl=64 time=1.18 ms
1731068582.444740894: 64 bytes from 192.168.6.12: icmp_seq=1608 ttl=64 time=0.871 ms
1731068582.971021479: 64 bytes from 192.168.6.12: icmp_seq=1609 ttl=64 time=1.25 ms
1731068583.471703394: 64 bytes from 192.168.6.12: icmp_seq=1610 ttl=64 time=0.816 ms
1731068583.994452160: 64 bytes from 192.168.6.12: icmp_seq=1611 ttl=64 time=1.05 ms
1731068584.495105449: 64 bytes from 192.168.6.12: icmp_seq=1612 ttl=64 time=0.850 ms
1731068585.018508641: 64 bytes from 192.168.6.12: icmp_seq=1613 ttl=64 time=1.08 ms
1731068585.519032387: 64 bytes from 192.168.6.12: icmp_seq=1614 ttl=64 time=1.09 ms
1731068586.019534775: 64 bytes from 192.168.6.12: icmp_seq=1615 ttl=64 time=0.946 ms
1731068586.520230294: 64 bytes from 192.168.6.12: icmp_seq=1616 ttl=64 time=0.796 ms
1731068587.034653170: 64 bytes from 192.168.6.12: icmp_seq=1617 ttl=64 time=1.07 ms
1731068587.535750288: 64 bytes from 192.168.6.12: icmp_seq=1618 ttl=64 time=0.899 ms
1731068588.058545684: 64 bytes from 192.168.6.12: icmp_seq=1619 ttl=64 time=1.01 ms
1731068588.559258672: 64 bytes from 192.168.6.12: icmp_seq=1620 ttl=64 time=1.23 ms
1731068589.065563913: 64 bytes from 192.168.6.12: icmp_seq=1621 ttl=64 time=7.59 ms
1731068589.562393565: 64 bytes from 192.168.6.12: icmp_seq=1622 ttl=64 time=2.14 ms
1731068590.061816012: 64 bytes from 192.168.6.12: icmp_seq=1623 ttl=64 time=1.46 ms
1731068590.562882374: 64 bytes from 192.168.6.12: icmp_seq=1624 ttl=64 time=1.32 ms
1731068591.064035502: 64 bytes from 192.168.6.12: icmp_seq=1625 ttl=64 time=0.867 ms
1731068591.582415652: 64 bytes from 192.168.6.12: icmp_seq=1626 ttl=64 time=4.87 ms
1731068592.080118993: 64 bytes from 192.168.6.12: icmp_seq=1627 ttl=64 time=0.742 ms
1731068592.602995242: 64 bytes from 192.168.6.12: icmp_seq=1628 ttl=64 time=1.20 ms
1731068593.102875438: 64 bytes from 192.168.6.12: icmp_seq=1629 ttl=64 time=0.900 ms
1731068593.627071829: 64 bytes from 192.168.6.12: icmp_seq=1630 ttl=64 time=1.22 ms
1731068594.128045086: 64 bytes from 192.168.6.12: icmp_seq=1631 ttl=64 time=0.834 ms
1731068594.651058800: 64 bytes from 192.168.6.12: icmp_seq=1632 ttl=64 time=1.25 ms
1731068595.150980769: 64 bytes from 192.168.6.12: icmp_seq=1633 ttl=64 time=0.903 ms
1731068595.652240420: 64 bytes from 192.168.6.12: icmp_seq=1634 ttl=64 time=1.01 ms
1731068596.152532987: 64 bytes from 192.168.6.12: icmp_seq=1635 ttl=64 time=0.949 ms
1731068596.652919845: 64 bytes from 192.168.6.12: icmp_seq=1636 ttl=64 time=0.821 ms
1731068597.180919363: 64 bytes from 192.168.6.12: icmp_seq=1637 ttl=64 time=3.27 ms
1731068597.681841948: 64 bytes from 192.168.6.12: icmp_seq=1638 ttl=64 time=3.56 ms
1731068598.184511900: 64 bytes from 192.168.6.12: icmp_seq=1639 ttl=64 time=4.44 ms
1731068598.683785520: 64 bytes from 192.168.6.12: icmp_seq=1640 ttl=64 time=2.90 ms
1731068599.183248943: 64 bytes from 192.168.6.12: icmp_seq=1641 ttl=64 time=0.889 ms
1731068599.707655178: 64 bytes from 192.168.6.12: icmp_seq=1642 ttl=64 time=1.68 ms
1731068600.208094900: 64 bytes from 192.168.6.12: icmp_seq=1643 ttl=64 time=0.920 ms
1731068600.709354140: 64 bytes from 192.168.6.12: icmp_seq=1644 ttl=64 time=1.51 ms
1731068601.209587233: 64 bytes from 192.168.6.12: icmp_seq=1645 ttl=64 time=0.845 ms
1731068601.710114763: 64 bytes from 192.168.6.12: icmp_seq=1646 ttl=64 time=1.01 ms
1731068602.211991290: 64 bytes from 192.168.6.12: icmp_seq=1647 ttl=64 time=1.49 ms
1731068602.712303386: 64 bytes from 192.168.6.12: icmp_seq=1648 ttl=64 time=0.817 ms
1731068603.227077455: 64 bytes from 192.168.6.12: icmp_seq=1649 ttl=64 time=1.37 ms
1731068603.728411631: 64 bytes from 192.168.6.12: icmp_seq=1650 ttl=64 time=0.962 ms
1731068604.228923874: 64 bytes from 192.168.6.12: icmp_seq=1651 ttl=64 time=1.30 ms
1731068604.733829605: 64 bytes from 192.168.6.12: icmp_seq=1652 ttl=64 time=5.42 ms
1731068605.230309324: 64 bytes from 192.168.6.12: icmp_seq=1653 ttl=64 time=1.05 ms
1731068605.732181704: 64 bytes from 192.168.6.12: icmp_seq=1654 ttl=64 time=1.53 ms
1731068606.231475176: 64 bytes from 192.168.6.12: icmp_seq=1655 ttl=64 time=0.924 ms
1731068606.747518841: 64 bytes from 192.168.6.12: icmp_seq=1656 ttl=64 time=1.32 ms
1731068607.247874704: 64 bytes from 192.168.6.12: icmp_seq=1657 ttl=64 time=0.786 ms
1731068607.771141489: 64 bytes from 192.168.6.12: icmp_seq=1658 ttl=64 time=1.50 ms
1731068608.272385563: 64 bytes from 192.168.6.12: icmp_seq=1659 ttl=64 time=0.970 ms
1731068608.773149943: 64 bytes from 192.168.6.12: icmp_seq=1660 ttl=64 time=1.26 ms
1731068609.273602926: 64 bytes from 192.168.6.12: icmp_seq=1661 ttl=64 time=0.819 ms
1731068609.787930588: 64 bytes from 192.168.6.12: icmp_seq=1662 ttl=64 time=1.35 ms
1731068610.287996464: 64 bytes from 192.168.6.12: icmp_seq=1663 ttl=64 time=0.875 ms
1731068610.787921955: 64 bytes from 192.168.6.12: icmp_seq=1664 ttl=64 time=0.847 ms
1731068611.292841701: 64 bytes from 192.168.6.12: icmp_seq=1665 ttl=64 time=3.61 ms
1731068611.797415089: 64 bytes from 192.168.6.12: icmp_seq=1666 ttl=64 time=5.98 ms
1731068612.292595627: 64 bytes from 192.168.6.12: icmp_seq=1667 ttl=64 time=1.12 ms
1731068612.794238398: 64 bytes from 192.168.6.12: icmp_seq=1668 ttl=64 time=0.941 ms
1731068613.293852405: 64 bytes from 192.168.6.12: icmp_seq=1669 ttl=64 time=0.767 ms
1731068613.818876377: 64 bytes from 192.168.6.12: icmp_seq=1670 ttl=64 time=1.14 ms
1731068614.319611145: 64 bytes from 192.168.6.12: icmp_seq=1671 ttl=64 time=1.04 ms
1731068614.820279714: 64 bytes from 192.168.6.12: icmp_seq=1672 ttl=64 time=1.09 ms
1731068615.320616641: 64 bytes from 192.168.6.12: icmp_seq=1673 ttl=64 time=1.02 ms
1731068615.820749036: 64 bytes from 192.168.6.12: icmp_seq=1674 ttl=64 time=0.820 ms
1731068616.347368033: 64 bytes from 192.168.6.12: icmp_seq=1675 ttl=64 time=1.36 ms
1731068616.847779080: 64 bytes from 192.168.6.12: icmp_seq=1676 ttl=64 time=0.859 ms
1731068617.348829005: 64 bytes from 192.168.6.12: icmp_seq=1677 ttl=64 time=1.06 ms
1731068617.848619464: 64 bytes from 192.168.6.12: icmp_seq=1678 ttl=64 time=1.04 ms
1731068618.354697346: 64 bytes from 192.168.6.12: icmp_seq=1679 ttl=64 time=6.75 ms
1731068618.852555153: 64 bytes from 192.168.6.12: icmp_seq=1680 ttl=64 time=2.53 ms
1731068619.350645308: 64 bytes from 192.168.6.12: icmp_seq=1681 ttl=64 time=0.900 ms
1731068619.851818917: 64 bytes from 192.168.6.12: icmp_seq=1682 ttl=64 time=1.42 ms
1731068620.352800354: 64 bytes from 192.168.6.12: icmp_seq=1683 ttl=64 time=0.956 ms
1731068620.857230429: 64 bytes from 192.168.6.12: icmp_seq=1684 ttl=64 time=4.72 ms
1731068621.356263774: 64 bytes from 192.168.6.12: icmp_seq=1685 ttl=64 time=2.73 ms
1731068621.857974129: 64 bytes from 192.168.6.12: icmp_seq=1686 ttl=64 time=3.02 ms
1731068622.358748775: 64 bytes from 192.168.6.12: icmp_seq=1687 ttl=64 time=3.24 ms
1731068622.862218764: 64 bytes from 192.168.6.12: icmp_seq=1688 ttl=64 time=5.84 ms
1731068623.360700151: 64 bytes from 192.168.6.12: icmp_seq=1689 ttl=64 time=3.10 ms
1731068623.860206930: 64 bytes from 192.168.6.12: icmp_seq=1690 ttl=64 time=1.05 ms
1731068624.359978369: 64 bytes from 192.168.6.12: icmp_seq=1691 ttl=64 time=0.862 ms
1731068624.859906526: 64 bytes from 192.168.6.12: icmp_seq=1692 ttl=64 time=0.786 ms
1731068625.372094333: 64 bytes from 192.168.6.12: icmp_seq=1693 ttl=64 time=1.69 ms
1731068625.871815958: 64 bytes from 192.168.6.12: icmp_seq=1694 ttl=64 time=0.902 ms
1731068626.373019824: 64 bytes from 192.168.6.12: icmp_seq=1695 ttl=64 time=1.47 ms
1731068626.873757074: 64 bytes from 192.168.6.12: icmp_seq=1696 ttl=64 time=0.947 ms
1731068627.374360775: 64 bytes from 192.168.6.12: icmp_seq=1697 ttl=64 time=0.872 ms
1731068627.899848697: 64 bytes from 192.168.6.12: icmp_seq=1698 ttl=64 time=1.34 ms
1731068628.400352372: 64 bytes from 192.168.6.12: icmp_seq=1699 ttl=64 time=0.900 ms
1731068628.901903686: 64 bytes from 192.168.6.12: icmp_seq=1700 ttl=64 time=1.99 ms
1731068629.401197032: 64 bytes from 192.168.6.12: icmp_seq=1701 ttl=64 time=1.15 ms
1731068629.902086427: 64 bytes from 192.168.6.12: icmp_seq=1702 ttl=64 time=0.920 ms
1731068630.402632251: 64 bytes from 192.168.6.12: icmp_seq=1703 ttl=64 time=1.05 ms
1731068630.902021873: 64 bytes from 192.168.6.12: icmp_seq=1704 ttl=64 time=0.870 ms
1731068631.418541788: 64 bytes from 192.168.6.12: icmp_seq=1705 ttl=64 time=1.33 ms
1731068631.919469498: 64 bytes from 192.168.6.12: icmp_seq=1706 ttl=64 time=1.01 ms
1731068632.420191422: 64 bytes from 192.168.6.12: icmp_seq=1707 ttl=64 time=1.00 ms
1731068632.920441500: 64 bytes from 192.168.6.12: icmp_seq=1708 ttl=64 time=0.745 ms
1731068633.435053394: 64 bytes from 192.168.6.12: icmp_seq=1709 ttl=64 time=1.07 ms
1731068633.935732574: 64 bytes from 192.168.6.12: icmp_seq=1710 ttl=64 time=0.856 ms
1731068634.458839946: 64 bytes from 192.168.6.12: icmp_seq=1711 ttl=64 time=1.27 ms
1731068634.959690455: 64 bytes from 192.168.6.12: icmp_seq=1712 ttl=64 time=0.868 ms
1731068635.482963243: 64 bytes from 192.168.6.12: icmp_seq=1713 ttl=64 time=1.35 ms
1731068635.983628630: 64 bytes from 192.168.6.12: icmp_seq=1714 ttl=64 time=0.909 ms
1731068636.483698821: 64 bytes from 192.168.6.12: icmp_seq=1715 ttl=64 time=0.815 ms
1731068636.989432839: 64 bytes from 192.168.6.12: icmp_seq=1716 ttl=64 time=4.02 ms
1731068637.487021368: 64 bytes from 192.168.6.12: icmp_seq=1717 ttl=64 time=0.844 ms
1731068638.013794219: 64 bytes from 192.168.6.12: icmp_seq=1718 ttl=64 time=4.35 ms
1731068638.511183000: 64 bytes from 192.168.6.12: icmp_seq=1719 ttl=64 time=1.04 ms
1731068639.012185070: 64 bytes from 192.168.6.12: icmp_seq=1720 ttl=64 time=1.18 ms
1731068639.513331321: 64 bytes from 192.168.6.12: icmp_seq=1721 ttl=64 time=1.31 ms
1731068640.013446964: 64 bytes from 192.168.6.12: icmp_seq=1722 ttl=64 time=0.739 ms
1731068640.539120045: 64 bytes from 192.168.6.12: icmp_seq=1723 ttl=64 time=1.37 ms
1731068641.038722952: 64 bytes from 192.168.6.12: icmp_seq=1724 ttl=64 time=1.05 ms
1731068641.539609868: 64 bytes from 192.168.6.12: icmp_seq=1725 ttl=64 time=0.806 ms
1731068642.043580705: 64 bytes from 192.168.6.12: icmp_seq=1726 ttl=64 time=1.25 ms
1731068642.542481906: 64 bytes from 192.168.6.12: icmp_seq=1727 ttl=64 time=0.850 ms
1731068643.067077268: 64 bytes from 192.168.6.12: icmp_seq=1728 ttl=64 time=1.31 ms
1731068643.567474794: 64 bytes from 192.168.6.12: icmp_seq=1729 ttl=64 time=0.927 ms
1731068644.068439918: 64 bytes from 192.168.6.12: icmp_seq=1730 ttl=64 time=1.01 ms
1731068644.569785392: 64 bytes from 192.168.6.12: icmp_seq=1731 ttl=64 time=2.31 ms
1731068645.069345773: 64 bytes from 192.168.6.12: icmp_seq=1732 ttl=64 time=0.935 ms
1731068645.569937624: 64 bytes from 192.168.6.12: icmp_seq=1733 ttl=64 time=1.52 ms
1731068646.070215310: 64 bytes from 192.168.6.12: icmp_seq=1734 ttl=64 time=0.752 ms
1731068646.587588771: 64 bytes from 192.168.6.12: icmp_seq=1735 ttl=64 time=1.70 ms
1731068647.087894493: 64 bytes from 192.168.6.12: icmp_seq=1736 ttl=64 time=0.910 ms
1731068647.611723894: 64 bytes from 192.168.6.12: icmp_seq=1737 ttl=64 time=1.49 ms
1731068648.111569183: 64 bytes from 192.168.6.12: icmp_seq=1738 ttl=64 time=0.836 ms
1731068648.635243183: 64 bytes from 192.168.6.12: icmp_seq=1739 ttl=64 time=1.21 ms
1731068649.135875885: 64 bytes from 192.168.6.12: icmp_seq=1740 ttl=64 time=0.837 ms
1731068649.658894199: 64 bytes from 192.168.6.12: icmp_seq=1741 ttl=64 time=1.34 ms
1731068650.159781816: 64 bytes from 192.168.6.12: icmp_seq=1742 ttl=64 time=0.884 ms
1731068650.682643095: 64 bytes from 192.168.6.12: icmp_seq=1743 ttl=64 time=1.10 ms
1731068651.183027350: 64 bytes from 192.168.6.12: icmp_seq=1744 ttl=64 time=1.01 ms
1731068651.683667147: 64 bytes from 192.168.6.12: icmp_seq=1745 ttl=64 time=1.19 ms
1731068652.183602862: 64 bytes from 192.168.6.12: icmp_seq=1746 ttl=64 time=0.823 ms
1731068652.698573778: 64 bytes from 192.168.6.12: icmp_seq=1747 ttl=64 time=1.24 ms
1731068653.199008376: 64 bytes from 192.168.6.12: icmp_seq=1748 ttl=64 time=0.866 ms
1731068653.723025703: 64 bytes from 192.168.6.12: icmp_seq=1749 ttl=64 time=1.72 ms
1731068654.223595935: 64 bytes from 192.168.6.12: icmp_seq=1750 ttl=64 time=0.995 ms
1731068654.724779645: 64 bytes from 192.168.6.12: icmp_seq=1751 ttl=64 time=0.912 ms
1731068655.225514503: 64 bytes from 192.168.6.12: icmp_seq=1752 ttl=64 time=1.05 ms
1731068655.729117081: 64 bytes from 192.168.6.12: icmp_seq=1753 ttl=64 time=4.03 ms
1731068656.227657647: 64 bytes from 192.168.6.12: icmp_seq=1754 ttl=64 time=1.58 ms
1731068656.727901857: 64 bytes from 192.168.6.12: icmp_seq=1755 ttl=64 time=0.707 ms
1731068657.244142765: 64 bytes from 192.168.6.12: icmp_seq=1756 ttl=64 time=1.63 ms
1731068657.744553129: 64 bytes from 192.168.6.12: icmp_seq=1757 ttl=64 time=0.907 ms
1731068658.244927256: 64 bytes from 192.168.6.12: icmp_seq=1758 ttl=64 time=1.53 ms
1731068658.745436596: 64 bytes from 192.168.6.12: icmp_seq=1759 ttl=64 time=1.11 ms
1731068659.246440976: 64 bytes from 192.168.6.12: icmp_seq=1760 ttl=64 time=1.39 ms
1731068659.747134170: 64 bytes from 192.168.6.12: icmp_seq=1761 ttl=64 time=1.21 ms
1731068660.248370504: 64 bytes from 192.168.6.12: icmp_seq=1762 ttl=64 time=0.834 ms
1731068660.763802418: 64 bytes from 192.168.6.12: icmp_seq=1763 ttl=64 time=1.39 ms
1731068661.263045762: 64 bytes from 192.168.6.12: icmp_seq=1764 ttl=64 time=1.01 ms
1731068661.770179607: 64 bytes from 192.168.6.12: icmp_seq=1765 ttl=64 time=7.92 ms
1731068662.264550709: 64 bytes from 192.168.6.12: icmp_seq=1766 ttl=64 time=0.974 ms
1731068662.764646459: 64 bytes from 192.168.6.12: icmp_seq=1767 ttl=64 time=0.825 ms
1731068663.290736117: 64 bytes from 192.168.6.12: icmp_seq=1768 ttl=64 time=1.30 ms
1731068663.791128216: 64 bytes from 192.168.6.12: icmp_seq=1769 ttl=64 time=0.835 ms
1731068664.314903072: 64 bytes from 192.168.6.12: icmp_seq=1770 ttl=64 time=1.11 ms
1731068664.815240670: 64 bytes from 192.168.6.12: icmp_seq=1771 ttl=64 time=0.834 ms
1731068665.338467330: 64 bytes from 192.168.6.12: icmp_seq=1772 ttl=64 time=1.02 ms
1731068665.838511240: 64 bytes from 192.168.6.12: icmp_seq=1773 ttl=64 time=1.21 ms
1731068666.340075823: 64 bytes from 192.168.6.12: icmp_seq=1774 ttl=64 time=0.909 ms
1731068666.839718502: 64 bytes from 192.168.6.12: icmp_seq=1775 ttl=64 time=0.668 ms
1731068667.355375763: 64 bytes from 192.168.6.12: icmp_seq=1776 ttl=64 time=1.66 ms
1731068667.857244679: 64 bytes from 192.168.6.12: icmp_seq=1777 ttl=64 time=0.990 ms
1731068668.356011540: 64 bytes from 192.168.6.12: icmp_seq=1778 ttl=64 time=0.842 ms
1731068668.858726110: 64 bytes from 192.168.6.12: icmp_seq=1779 ttl=64 time=1.06 ms
1731068669.359639813: 64 bytes from 192.168.6.12: icmp_seq=1780 ttl=64 time=0.915 ms
1731068669.860881264: 64 bytes from 192.168.6.12: icmp_seq=1781 ttl=64 time=1.75 ms
1731068670.361648989: 64 bytes from 192.168.6.12: icmp_seq=1782 ttl=64 time=1.09 ms
1731068670.861872685: 64 bytes from 192.168.6.12: icmp_seq=1783 ttl=64 time=0.718 ms
1731068671.387050663: 64 bytes from 192.168.6.12: icmp_seq=1784 ttl=64 time=1.38 ms
1731068671.887361911: 64 bytes from 192.168.6.12: icmp_seq=1785 ttl=64 time=0.961 ms
1731068672.388956444: 64 bytes from 192.168.6.12: icmp_seq=1786 ttl=64 time=1.31 ms
1731068672.889700084: 64 bytes from 192.168.6.12: icmp_seq=1787 ttl=64 time=1.06 ms
1731068673.389750970: 64 bytes from 192.168.6.12: icmp_seq=1788 ttl=64 time=0.822 ms
1731068673.915018112: 64 bytes from 192.168.6.12: icmp_seq=1789 ttl=64 time=1.04 ms
1731068674.415476076: 64 bytes from 192.168.6.12: icmp_seq=1790 ttl=64 time=0.887 ms
1731068674.916132155: 64 bytes from 192.168.6.12: icmp_seq=1791 ttl=64 time=0.980 ms
1731068675.416448576: 64 bytes from 192.168.6.12: icmp_seq=1792 ttl=64 time=0.897 ms
1731068675.932415215: 64 bytes from 192.168.6.12: icmp_seq=1793 ttl=64 time=2.13 ms
1731068676.431712774: 64 bytes from 192.168.6.12: icmp_seq=1794 ttl=64 time=1.08 ms
1731068676.933409742: 64 bytes from 192.168.6.12: icmp_seq=1795 ttl=64 time=2.24 ms
